english_idiom,english_context,jp_idiom,jp_context,english_translation,similarity
cross the Rubicon,"‘ Now 's the time to nail my colours to the mast , throw away the scabbard , buckle to , go the whole hog , cross the Rubicon , grab the bull by the horns , put my shoulder to the wheel and leave a note out for the milkman.’",旗 を 掲げる,サー・マンドンは王の旗を掲げろ,"Ser Mandon, you will bear the King's banner.",0.6847021579742432
foot the bill,"Matters relating to your home life and financial security are highlighted and , while you can anticipate some minor gains , benefits or other incentives early this month , sparks may fly just prior to the 16th , when someone appears to be taking you for a fool or expecting you to foot the bill .",勘定 に 入れる,最近の出来事も 勘定に入れなくてはなるまい,"However, recent events must be taken into account.",0.6841421127319336
hold your tongue,"' Hold your tongue , woman !",口 が 堅い,本当に口が堅いぞ,They're real cagey types.,0.6839503049850464
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 が 痛い,耳が痛いよ,Don't gloat.,0.6836951375007629
rub someone the wrong way,"Unless you 've been calling my bluff since day one , you should be able to see off any mere mortal who rubs us up the wrong way . '",押し付ける が ましい,ただのひねくれ者だよ... ...押し付けがましい女さ.,She's just stubborn and she's pushy beyond belief.,0.6832467317581177
beside yourself,"How dare you do thing like that , you know , you 're sort of , you , you just ca n't , you 're almost beside yourself , as you 're trying to use up all that adrenaline , all that energy that 's poured into your body as you try to help that child across the road , knowing in actual fact you ca n't .",矢面 に 立つ,お前は矢面に立ってる... しかし　そうすべきではない,Putting yourself in the firing line is no way of dealing with it.,0.6831562519073486
hold your tongue,"' Hold your tongue , woman !",脇 目 も 振る ぬ,脇目も振らずあの娘の元へ．．．,She went straight for him.,0.6830443739891052
put your heads together,He will be less easy to understand if you literally put your heads together .,頭 が 上がる ない,頭が上がらないようだな,Makes you wonder what's going on in that little head of hers.,0.682948887348175
hold your tongue,"' Hold your tongue , woman !",舌 を 巻く,- レミ 舌を巻いて,"- Remi, please roll your tongue.",0.6823694109916687
put two and two together,"None of us really knew for certain what had gone wrong , although , well , you could n't help putting two and two together .",二 つ 返事 だ,二つ返事だったわね,That didn't take long.,0.6821671724319458
on someone's mind,"She felt edgy and unsettled , dreading tomorrow and the final show - down over Ryan — for the prospect of breaking her solemn promise to him still lay heavily on her mind .",気 を 持つ せる,アニーに気を持たせて 何もしない気なのか？,"May, you can't give Annie all this hope and then not deliver on anything at all.",0.6821616888046265
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",頭 を 振る,頭を振って？,Just nod your head? Baby?,0.681759238243103
stick your neck out,You do n't have to stick your neck out in meetings .,気 を 使う,気を使うな,Don't mind me.,0.6814032196998596
cloth ears,"‘ Go on , cloth ears , open it.’","小耳 に 挟む,耳 に 挟む",小耳に挟んだだけ,"Oh,I shouldn't have been listening.",0.68117755651474
push the envelope,"You 're sweating and nervous and you know you 're out on a limb here , you 're in the process of taking some terrible risks and the luck , the flow that comes from being justified and in tune and not taking too much for granted , not being contemptuous or disrespectful of fate ; all that 's in danger here because you 're pushing the envelope , you 're maybe relying on one or two too many things going perfectly .",計算 高い,おまえは冷ややかで 計算高いよ,You were cold and calculating.,0.6811636090278625
no can do,No ca nt do,手 が ない,打つ手がない　作戦変更だ,Arsenal running dry. Adjust strategy.,0.6810219287872314
snug as a bug in a rug,"' You do n't have to worry about those sheep , Seb , they 're as snug as bugs in a rug out there , but I 've given them some more hay , just in case .",狸寝 入り,狸寝入りするってのか？,Will you stop crying about this? Let's go.,0.6798005700111389
bite someone's head off,The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off !,巻き添え を 食う,彼女も巻き添えを食います,She's collateral damage.,0.6795535683631897
lose your marbles,' So you 've finally lost your last marble ' a voice said from the far end of the room .,魂 が 抜ける,魂が抜けてる！,No. Her soul has left her body.,0.6793676614761353
snap someone's head off,"Phone him , see him , sort something out and then perhaps we 'll be able to have a normal conversation without you snapping my head off!’",口火 を 切る,抗争の口火を切ることになるかもしれない,"Pardillo quick, this might just be the first shot fired.",0.678990364074707
come out of your shell,But now you should come out of your shell .,何 は さておく,何はさておき,"Above all else,",0.6787766814231873
be all ears,Yes I am I 'm all ears .,耳 を 貸す,- 耳を貸さないのです,- doesn't always listen.,0.6783459186553955
sleep like a log,"and er , it was gone eleven I would of thought , anyway he stopped and I slept like a log , got up at twenty past six , but erm , it 's a strange thing because one of those came last evening and it parked outside George 's , now I said yesterday , when Alan goes to work , it 's not long after six normally to go up to London and that",先 を 越す,俺が眠ってる間に 先を越されたのだ,She must have passed me while I slept. Well? ...,0.678327202796936
by the skin of your teeth,"‘ And the second time in Norfolk you took a bullet in the right shoulder and only got away by the skin of your teeth , leaving Kurt Steiner behind.’",口 を 割る,口を割らせないと 殺すのではなく,Our instructions were to break him down not kill him.,0.6780601739883423
stick your neck out,You do n't have to stick your neck out in meetings .,手 を 休める,ハハ、手を休めるな,"Ha, ha. Don't quit your day job.",0.6777835488319397
put your heads together,He will be less easy to understand if you literally put your heads together .,首 を 振る,首を振るな,Don't shake your head at me.,0.6777427196502686
blow your top,"If you blow your top , they 'll nick you double quick.’",首 が 飛ぶ,あと 2人の首が 飛ぶのね,That means two more heads are about to roll.,0.6777201890945435
wake up and smell the coffee,"Wake up and smell the coffee , guys .",一 杯 食う,一杯食わせやがったな！,You swindled me!,0.677413821220398
push the envelope,"You 're sweating and nervous and you know you 're out on a limb here , you 're in the process of taking some terrible risks and the luck , the flow that comes from being justified and in tune and not taking too much for granted , not being contemptuous or disrespectful of fate ; all that 's in danger here because you 're pushing the envelope , you 're maybe relying on one or two too many things going perfectly .","手 を 付ける,手段 を 選ぶ ない",何から手を付けるか 判らないが たぶん 手段を選ばない,"I don't know when or where, but they will make a move.",0.6773167848587036
"been there, done that","Been there , seen this , done that ' but , after just one go , my opinion changed ( a little ! ) .",気 に 障る,先に使ってしまって お気に障ったかしら,I hope you don't mind that I tried it first.,0.6770832538604736
get your hands dirty,"Armed with the Steamatic , there 's no need to get your hands dirty and the job is done in half the time .","頭 を 下げる,手 に 入れる",頭を下げてろ 武器を手に入れたらすぐに マウンテンに向かうぞ,"As soon as we have the weapons, we'll make straight for the mountain",0.6764228343963623
knock it off,told him if he did n't wake up and be a bit more happy I was going to knock it off .,口 を 挟む,なのに　今朝　ハンク・ジェラルドは 一言も口を挟まなかった,"Yet this morning, Hank Gerrard doesn't even get a syllable in edgeways.",0.6761273145675659
