english_idiom,english_context,fi_idiom,fi_context,english_translation,similarity
rest on your laurels,"And if I were you , I would n't bother resting on your very dusty laurels . '",kukkona tunkio,- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",0.6565173864364624
put your heads together,He will be less easy to understand if you literally put your heads together .,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6548448204994202
tan someone's hide,I tan your hide.’,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6523489952087402
turn someone's head,"let 's see if we can turn your head , oh dear it 's a little bit big",vaihtaa hiippa#kunta,Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.,0.6517770290374756
keep your pecker up,‘ Try and keep your peckers up!’,pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.651016891002655
clean as a whistle,I 'm clean as a whistle and soon I 'm coming home to you .,pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.649620532989502
knock it off,told him if he did n't wake up and be a bit more happy I was going to knock it off .,nalli kallio,"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","In this case, my client paid for the wedding and was hung out to dry.",0.6492804884910583
within an ace of,I came within an ace of slapping her around .,oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6490352153778076
right up your street,"‘ This will be right up your street,’ said Tabitha .",pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.6482887268066406
have a cow,"Do n't have a cow , man !",oma lehmä oja,"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.",The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.,0.6480846405029297
have a tiger by the tail,"‘ And if you push me down again,’ she warned quietly , ‘ you might very well find that you have a tiger by the tail .",vetää turpa,- Vetämään turpaan?,Then shut your mouth.,0.6465048789978027
stick your neck out,You do n't have to stick your neck out in meetings .,auko pää,Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",0.6460634469985962
blow your top,"If you blow your top , they 'll nick you double quick.’",tulla tupen#rapina,Nyt tuli tupenrapinat!,You're gonna regret it!,0.6457637548446655
call it quits,Give us them two back and we 'll call it quits .,heittää,Heitän vain yhden voimisteluliikkeen...,I'll just do one of my gymnastics moves to...,0.6449311971664429
put your heads together,He will be less easy to understand if you literally put your heads together .,oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6446545124053955
like peas in a pod,"They were like two peas in a pod , both with the same high cheekbones and widow 's peak .",kuin kaksi marja,Emme olleet kuin kaksi marjaa.,Not that Conor and I were peas in a pod.,0.6444358229637146
by the skin of your teeth,"‘ And the second time in Norfolk you took a bullet in the right shoulder and only got away by the skin of your teeth , leaving Kurt Steiner behind.’",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6423827409744263
get on someone's nerves,She just gets on my nerves .,pihkka,Ehkä hän on pihkassa sinuun.,Maybe he has a crush on you.,0.6414512395858765
take the piss,"Right when it was pitch dark , yeah , I was half , I was still pissed and I was half asleep and you were p taking the piss out of me behind my back about that .",vintti pimetä,Vintti pimeni.,I blacked out.,0.641248345375061
game on,"Say , I 'm gon na have game on this anyway .",heittää,Heitän vain yhden voimisteluliikkeen...,I'll just do one of my gymnastics moves to...,0.6401506662368774
fly off the handle,She saw the mess and flew off the handle at once .,oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6396074891090393
right as rain,Yeah but when he got down here he was as right as rain was n't he ?,sataa kuin esteri perse,Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",0.639320969581604
blow your top,"If you blow your top , they 'll nick you double quick.’",heittää,Heitän vain yhden voimisteluliikkeen...,I'll just do one of my gymnastics moves to...,0.638992428779602
hard as nails,Hard as nails ?,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6373686790466309
come out of your shell,But now you should come out of your shell .,"vaihe,oja allikko","Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.,0.637320876121521
twist someone's arm,"She will twist your poor rich senile arm to pay you out , because you have an airy house on the hill , and she goes home to a room in the damp and humid valley .","heittää,heittää lusikka nurkka",- Heittää lusikka nurkkaan.,- Bit the dust.,0.6362208127975464
hum and haw,"When I 'd finished he hummed and hawed a bit , but finally admitted he was at fault and promised to apologise to you as well .",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6359599232673645
drunk as a lord,Then turned up one morning drunk as a lord .,lähteä lapanen,Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.,"Look, I guess I had too much to drink and things got out of control and I did something really bad.",0.6348409652709961
turn up like a bad penny,' Why have you turned up again like the bad penny ? ',kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6346951723098755
take it from me,"‘ Well , take it from me , she knows exactly what 's she doing .",lähteä vetää,Lähde vetämään täältä.,Get out of here.,0.6339037418365479
hit the ceiling,"Why should you go clucking around them like a mother hen , just because they both hit the ceiling?’",pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.632995069026947
get it up,"‘ Nervous as fuck — I was certain I would n't be able to get it up , I mean just certain , especially as I 'm still feeling the effects from getting pissed yesterday — and then , well … aroused , I suppose , when … when I realised you were.’",vetää turpa,- Vetämään turpaan?,Then shut your mouth.,0.6329233646392822
fly the coop,"How are you and your wife doing , now that the birds have all flown the coop ?",kana kynittää,"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.",0.6324949264526367
blow your top,"If you blow your top , they 'll nick you double quick.’",kuin seipä niellä,Kuin seipään niellyt.,"No, not a stuffed fish. A boiled owl.",0.6318304538726807
put your heads together,He will be less easy to understand if you literally put your heads together .,auko pää,Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",0.6304110288619995
turn over a new leaf,"Besides , if I 'm turning over a new leaf , I need new friends to go with it , do n't you know?’",vaihtaa hiippa#kunta,Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.,0.6294862031936646
push the envelope,"You 're sweating and nervous and you know you 're out on a limb here , you 're in the process of taking some terrible risks and the luck , the flow that comes from being justified and in tune and not taking too much for granted , not being contemptuous or disrespectful of fate ; all that 's in danger here because you 're pushing the envelope , you 're maybe relying on one or two too many things going perfectly .","vaihe,oja allikko","Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.,0.6294703483581543
cook someone's goose,This will cook Arthur 's goose .,kana kynittää,"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.",0.6289842128753662
in two shakes,"‘ All better now , darling,— over in two shakes — come on , close your … ’",kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6283962726593018
run something up the flagpole,' Send me a Capex and I 'll run it up the flagpole . ',pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.6280129551887512
watch your back,"Standing behind — or Watch your backs Agree on a signal to indicate "" Freeze "" .",tumpu suora,"Pidin sinusta ennen. Et seissyt tumput suorina odottamassa, että jotakin tapahtuu.",I liked the old you who wouldn't just sit around and wait for things to happen.,0.627223789691925
foam at the mouth,"' Get inside , the lot of you , or I 'll call the police , ' shouted the prebendary , foaming at the mouth .",tulla tupen#rapina,Nyt tuli tupenrapinat!,You're gonna regret it!,0.6271534562110901
tan someone's hide,I tan your hide.’,pukki kaalia vartija,Pukki kaalimaan vartijana.,"You're kind of like the wolf guarding the henhouse, Fred.",0.6266936659812927
go to your head,"Guitarist Simon Bartholomew from the soul - funk group , in the Top 30 with Do n't Let It Go To Your Head , says : ' We told the promoter no way could we perform .",auko pää,Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",0.6265878677368164
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),kääntää kelkka,"Joo, ennen kuin hän käänsi kelkkansa.","Yeah, I knew him once, before he turned his back.",0.6263644695281982
tan someone's hide,I tan your hide.’,pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.6259591579437256
go with the flow,"Enjoy the ride down , let the wind fly through your hair , go with the flow , and wait for the big crash .",kuin täi terva,"Olen kuin täi tervassa, riskien ympäröimä.",I'm a fly in the ointment.,0.6256009936332703
let's be having you,"‘ Right , let 's be having you then,’ he said , and proceeded to lead his recruits — carryying everything from battered suitcases to brown paper parcels — through the streets of Edinburgh at the double , only to be sure that the locals did n't realise just how undisciplined this rabble really was .",nalli kallio,"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","In this case, my client paid for the wedding and was hung out to dry.",0.6253354549407959
walk of life,"They have got to demand in the politest possible way , but in the most determined way , that they should be treated as responsible citizens whatever their walk of life People take others at their own evaluation .",oppia kanta#pää kautta,"Usein oppii kantapään kautta, että naiset ovat häiriöksi.",You're not the first man to learn the hard way-- women are a distraction.,0.6252853870391846
pull a face,As she heard me going on about the luncheon party she pulled a face .,vetää herne nenä,Jotkut vetävät herneen nenään.,"Some people get pissed off, saying we're taking over.",0.6252105832099915
under the table,"And here comes the bad news : there 's work , but it 's ever more often under the table .",kivi alla,Vapaaehtoiset ovat kiven alla.,I'm having a tough time finding volunteers.,0.6250892877578735
do someone proud,‘ I enjoyed myself immensely and I hope I did myself proud.’,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6243789792060852
put your heads together,He will be less easy to understand if you literally put your heads together .,pihkka,Ehkä hän on pihkassa sinuun.,Maybe he has a crush on you.,0.6240012645721436
put your heads together,He will be less easy to understand if you literally put your heads together .,vetää turpa,- Vetämään turpaan?,Then shut your mouth.,0.6236709952354431
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",heittää,Heitän vain yhden voimisteluliikkeen...,I'll just do one of my gymnastics moves to...,0.6236076354980469
blow your top,"If you blow your top , they 'll nick you double quick.’",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6229062080383301
put your foot in it,"Do n't go on too long about the paper , or you 'll put your foot right in it with Sefton , one way or another .",kuin seipä niellä,Kuin seipään niellyt.,"No, not a stuffed fish. A boiled owl.",0.6227715611457825
get on someone's nerves,She just gets on my nerves .,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6225132942199707
tan someone's hide,I tan your hide.’,vaihtaa hiippa#kunta,Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.,0.6223772764205933
get under someone's skin,"He managed somehow to get under my skin , tangle me up inside so that I did n't know if I was coming or going .",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6220889091491699
all wet,Have you gone all wet .,sataa kuin esteri perse,Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",0.6214364767074585
have a screw loose,"Then , putting her knuckles to her head , indicating her brain , she added : ‘ Between you , me and the gatepost , we used to think they had a screw loose.’",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6211771368980408
out cold,‘ I 've been knocked out cold.’,sataa kuin esteri perse,Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",0.6209753751754761
on your high horse,I thought I 'd end up feeling frustrated by you staying on your moralistic high horse without ever offering any concrete political proposals .,vasta#rannan#kiiski,Et enää erota vastarannankiiskejä.,No more dismissing anyone who disagrees.,0.6206475496292114
rub someone the wrong way,"Unless you 've been calling my bluff since day one , you should be able to see off any mere mortal who rubs us up the wrong way . '",kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.620014488697052
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",puuro ja velli sekaisin,Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?,0.6197993755340576
rough around the edges,"‘ I 'm no more a gentleman than you are a lady,’ he said with soft menace , his voice gone rough around the edges .",soittaa suu,Soitit suutasi psykopaattien edessä.,"You had to run your mouth in front of psychopaths, didn't you?",0.6192171573638916
through thick and thin,And I have calculated that you would be on Mr. Stavanger 's side through thick and thin .,mennä yli hilse,- Tekoäly menee yli hilseen.,All this A.I. stuff is way out of my league.,0.6190897226333618
have a tiger by the tail,"‘ And if you push me down again,’ she warned quietly , ‘ you might very well find that you have a tiger by the tail .",asettua poikki#telo,Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",0.6187987327575684
one good turn deserves another,"' One good turn deserves another , ' I said .",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6177416443824768
down the hatch,"' Down the hatch , Piper ! ' said Taff , raising his mug .",oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6174496412277222
roll up your sleeves,Pat ~ Schroeder said that you ca n't wring your hands and roll up your sleeves at the same time .,pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.617405116558075
tan someone's hide,I tan your hide.’,kukkona tunkio,- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",0.6173422336578369
let's be having you,"‘ Right , let 's be having you then,’ he said , and proceeded to lead his recruits — carryying everything from battered suitcases to brown paper parcels — through the streets of Edinburgh at the double , only to be sure that the locals did n't realise just how undisciplined this rabble really was .","heittää,heittää lusikka nurkka",- Heittää lusikka nurkkaan.,- Bit the dust.,0.6166656017303467
drunk as a lord,Then turned up one morning drunk as a lord .,sataa kuin esteri perse,Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",0.6163177490234375
chickens come home to roost,"because they must know what 's gon na happen when they , you know , when the cows come home , they must know when the chickens come home to roost they must know what 's gon na happen",kana kynittää,"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.",0.616278886795044
high as a kite,I 'm as high as a kite and there 's no champagne in the orange juice.’,pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.616060197353363
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.6160566806793213
go with the flow,"Enjoy the ride down , let the wind fly through your hair , go with the flow , and wait for the big crash .",vasta#rannan#kiiski,Et enää erota vastarannankiiskejä.,No more dismissing anyone who disagrees.,0.6154341697692871
roll up your sleeves,Pat ~ Schroeder said that you ca n't wring your hands and roll up your sleeves at the same time .,vetää turpa,- Vetämään turpaan?,Then shut your mouth.,0.6152280569076538
put your heads together,He will be less easy to understand if you literally put your heads together .,soittaa suu,Soitit suutasi psykopaattien edessä.,"You had to run your mouth in front of psychopaths, didn't you?",0.6151126027107239
there's no fool like an old fool,"Crossing the road to water the bed of dahlias and moon daisies and nasturtiums she kept on the grass margin across the road from her door at the beginning of the village , Mrs Reynolds paused to watch Rose make her way round by the bridge to the post office and muttered venomously , ' There 's no fool like an old fool ' , as if confronting the worst part of her own nature .",kukkona tunkio,- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",0.6150102615356445
have someone's number,Because he had your number .,pihkka,Ehkä hän on pihkassa sinuun.,Maybe he has a crush on you.,0.6149518489837646
"been there, done that","Been there , seen this , done that ' but , after just one go , my opinion changed ( a little ! ) .","vaihe,oja allikko","Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.,0.6149487495422363
shake a leg,"Come on , shake a leg , old son.’",pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.6147761940956116
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),kuin seipä niellä,Kuin seipään niellyt.,"No, not a stuffed fish. A boiled owl.",0.6146875619888306
get your hands dirty,"Armed with the Steamatic , there 's no need to get your hands dirty and the job is done in half the time .",kukkona tunkio,- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",0.614674985408783
