english_idiom,english_context,french_idiom,french_context,french_english_translation,similarity
forty winks,I could do with forty winks right now and Otley would never miss me .,"en avoir marre,en avoir rien à foutrer","Putain, j'en ai rien à foutre! J'en ai marre!","Fuck, I don't want to know, I've had enough!",0.6187405586242676
beat about the bush,"I mean , let 's not beat about the bush here .",en avoir rien à cirer,Et je n'en ai rien à cirer.,And I don't give a damn.,0.618471622467041
get your hands dirty,"Armed with the Steamatic , there 's no need to get your hands dirty and the job is done in half the time .",jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6181383728981018
you could have knocked me down with a feather,"' I 'm telling you , ' she said , ' when I heard that big clock in the hall striking the five , you could 've knocked me down with a feather !",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.617745041847229
sell like hot cakes,"T - shirts and posters are selling like hot cakes , and books , stickers , videos and even a monthly magazine are on the way .",se vendre comme un petit pain,Ça se vend comme des petits pains sur Internet.,They're going crazy on the Internet.,0.6174987554550171
blow your top,"If you blow your top , they 'll nick you double quick.’",jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6174039840698242
blow your top,"If you blow your top , they 'll nick you double quick.’",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6173719763755798
throw a wobbly,This girl this morning she threw a wobbly .,jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6168887615203857
do someone proud,‘ I enjoyed myself immensely and I hope I did myself proud.’,avoir le cafard,"""J'ai le cafard à cause de toi.","""I've got the blues for you.",0.6166069507598877
bite someone's head off,The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off !,péter un câble,Elle a pété un câble.,She's kinda freakin' out.,0.6162692308425903
roll up your sleeves,Pat ~ Schroeder said that you ca n't wring your hands and roll up your sleeves at the same time .,jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6162476539611816
rest on your laurels,"And if I were you , I would n't bother resting on your very dusty laurels . '",avoir le gueule de bois,"Là, j'ai la gueule de bois.",Now I'm just hung-over.,0.6162326335906982
I'll eat my hat,"Seriously , if Fairclough is n't man marking Shearer on Sunday I 'll eat my hat .",prendre le tête,"Je sais qu'il est ici, et ça me prend la tête.",I know that he's over there right now and it's drilling a hole in my brain.,0.6154204607009888
smell of the lamp,It is said of some speeches that they smell of the lamp .,sentir le sapin,"Ça sent le sapin, mec.","That sucks, dude.",0.6146422624588013
game on,"Say , I 'm gon na have game on this anyway .","aller droit à le but,en avoir marre",J'en ai marre de jouer au chat et à la souris. J'ai Faith pour ça. Allons droit au but.,'Cause you know I'm here to take that call,0.614609956741333
"been there, done that","Been there , seen this , done that ' but , after just one go , my opinion changed ( a little ! ) .",coup de foudre,J'ai eu un vrai coup de foudre.,It was love at first sight.,0.6133990287780762
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",tomber dans le panneau,"Non, je ne vais pas tomber dans le panneau pour ça encore.","No, I'm not falling for that again.",0.6129854917526245
pull a face,As she heard me going on about the luncheon party she pulled a face .,boire comme un trou,Elle a commencé à boire comme un trou.,She started a drinking binge.,0.6127392053604126
blow your top,"If you blow your top , they 'll nick you double quick.’",en avoir ras-le-bol,J'en ai ras-le-bol. Pas vous ?,I'm sick and tired of this.,0.6125170588493347
knock someone's socks off,"It 's Lil , power - dressed to knock your socks off , with all eyes blazing .",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6123912334442139
hold your tongue,"' Hold your tongue , woman !",avoir le cafard,"""J'ai le cafard à cause de toi.","""I've got the blues for you.",0.6120840311050415
put the cat among the pigeons,"Remember that first Christmas when she put the cat among the pigeons by saying to me your husband told me that he ca n't really afford he 's flying because you spend all his money , when I , when I 've been backing him , saving money for his aeroplane and his lessons and","il faire un froid de canard,un froid de canard","Sapristi, il fait un froid de canard.","Oh, Jiminy. It sure turned cold.",0.6117954254150391
blow your top,"If you blow your top , they 'll nick you double quick.’",avoir le dalle,"Super, j'ai la dalle.","- Oh, good, 'cause I'm starving.",0.6111809015274048
in two shakes,"‘ All better now , darling,— over in two shakes — come on , close your … ’",avoir le cafard,"""J'ai le cafard à cause de toi.","""I've got the blues for you.",0.6104191541671753
cloth ears,"‘ Go on , cloth ears , open it.’",faire le sourd oreille,Je croyais pouvoir continuer à faire la sourde oreille.,I guess I thought I could just go on not caring.,0.6100215911865234
top banana,"Erm , great job , thanks a lot , unreal , nice one , topper , you 're a star , champion , thanks for doing that for me , and this one was a bit disputed , but we had top banana at the end .",avoir le banane,j'aurai la banane.,I'll go bananas.,0.6096646189689636
off the top of your head,"‘ You 're saying that off the top of your head , Mr Glover .",prendre son jambe à son cou,Prenez vos jambes à votre cou.,By all means... run.,0.6086044907569885
sail under false colours,"Still , he feels that the waiters know that he comes from Dearborn and they can see that in his cashmere tweed jacket he is sailing under false colours .",mener quelqu'un en bateau,"- Une déposition, d'après lui. Je crois plutôt qu'il essaie de mener quelqu'un en bateau.","- He says it's a statement, but I think he's putting somebody on.",0.6078695058822632
no smoke without fire,No smoke without fire thought,ne y voir que du feu,"""Je coucherai avec lui mardi et jeudi et il n'y verra que du feu"".",I'll have sex with him Tuesday and Thursday and he'll be none the wiser.,0.6066661477088928
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6066418886184692
watch your back,"Standing behind — or Watch your backs Agree on a signal to indicate "" Freeze "" .",se jeter dans le gueule de le loup,Va-t-on se jeter dans la gueule du loup ?,We'll be walking into a trap!,0.606615424156189
put your heads together,He will be less easy to understand if you literally put your heads together .,en prendre de le graine,"Ce serait à lui de m'écouter, pour en prendre de la graine.",L... I don't have all the answers. But maybe he should listen to me more and learn a little.,0.6065154671669006
