idiom,num_contexts,french_contexts,english_translations
ah le vache,5,"Salut. Ah la vache, ils sont costauds, ceux-là. ||| Ah la vache ! ||| Ah la vache, c'est le saumon. ||| Ah la vache! ||| Ah la vache !","Oh my God, who's winning so far? ||| Holy cow! ||| It's the salmon guy! ||| - Holy moly. ||| Holy cow!"
avoir le gueule de bois,5,"Là, j'ai la gueule de bois. ||| J'ai la gueule de bois par ta faute. ||| Laisse-moi tranquille, j'ai la gueule de bois. ||| Tu as la gueule de bois. ||| - Bien sûr que j'ai la gueule de bois.","Now I'm just hung-over. ||| And I am hung over because of you. ||| Oh, leave me alone, I have a hangover. ||| You're hungover. ||| Of course I'm hungover."
avoir le patate,5,"O.K., vous avez la patate. ||| - Ouais, j'avais la patate. ||| J'ai la patate, ce matin. ||| Nous, on a la patate ! ||| J'ai la patate, moi !",Fine. You guys rock. ||| You should've seen me. ||| I'm on top form today. ||| We all feel great. ||| I'm starting to see why!
avoir le pêche,5,"Soudain, t'as la pêche ? ||| Les Rockets ont la pêche... ||| J'ai la pêche à mort. ||| J'ai la pêche comme c'est pas possible. ||| T'as la pêche, hein ?",Now all of a sudden you're fired up? ||| These Rockets are movin' today.! ||| Good as hell. ||| My spirit's high as it can be ||| - You're in great shape!
avoir le œil plus gros que le ventre,5,"Vous avez les yeux plus gros que le ventre, mon ami. ||| Elle pense qu'on a les yeux plus gros que le ventre. ||| Tu cherches trop à impressionner. Tu as les yeux plus gros que le ventre. ||| Voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre, Pat. ||| J'avais les yeux plus gros que le ventre.","You've bitten off more than you can chew this time, my friend. ||| She worries our eyes might be a little bigger than our stomachs. ||| You try so hard to impress people, you always bite off more than you can chew. ||| This is what happens when you get too big for your boots, Pat. ||| I bit off more than I could chew."
avoir un autre chat à fouetter,5,"Et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter. ||| Pour le moment, on a d'autres chats à fouetter. ||| - Non. On a d'autres chats à fouetter. ||| Arrête, on a d'autres chats à fouetter. ||| On a d'autres chats à fouetter.","And I didn't get a chance to tell you because we had bigger fish to fry. ||| But right now, we got bigger fish to fry. ||| We have bigger fish to fry. ||| Shut up, focus on the job. ||| We got bigger fish to fry."
avoir un chat dans le gorge,5,"J'ai dû avoir un chat dans la gorge. ||| - Vous avez un chat dans la gorge ! - Oui. ||| Quand je dis son prénom, c'est comme si j'avais un chat dans la gorge. ||| J'avais un chat dans la gorge. ||| Il a un chat dans la gorge.","Must've been a frog in my throat. ||| - You've got a frog in your throat. ||| It's easy to pronounce. Every time I try to say her name, I get a hairball. ||| Just got a frog in my throat. ||| He's just a little hoarse."
"avoir un coup de foudre,coup de foudre",5,"Je sais pas, j'ai eu un coup de foudre. ||| Je n'ai pas eu de coup de foudre depuis Sean Cassidy. ||| Meg disait à Markayla de ralentir, mais Markayla a eu un coup de foudre. ||| Moi aussi. Mais on n'a pas eu de coup de foudre. ||| Avoir un coup de foudre, c'est sentir le véritable amour.","I don't know, it was love at first sight. ||| I haven't had a crush since Sean Cassidy. No way. ||| Meg kept telling Markayla to slow down, but Markayla was head over heels. ||| So do I, but we didn't love each other at first either. ||| To experience love at first sight, is to feel true love."
avoir un peur bleu de,5,"Tavares n'aurait pas témoigné car il avait une peur bleue de Donovan. ||| Il a une peur bleue de vous. ||| Je m'appelle Sydney White, mon pére est plombier, je collectionne les BD et j'ai une peur bleue des ballons en forme d'animaux. ||| L'autre moitié a une peur bleue de lui. ||| Vous avez oublié, je suis influent à Klingen et que j'ai une peur bleue des pigeons.","Tavares wouldn't testify because he was scared stiff of Donovan. ||| He's afraid of you. ||| My name is Sydney White. My dad's a plumber. I collect comic books and I'm secretly terrified of balloon animals. ||| The rest... scared to death of that wombat. ||| Well, you only left out that... I'm fluent in Klingon and have a bona fide fear of pigeons."
battre le fer tant que il être chaud,5,"Et tu le sais, il faut battre le fer tant qu'il est chaud. ||| Ils veulent le capital sur la publicité produite par le Post, nous devons battre le fer tant qu'il est chaud. ||| Battons le fer tant qu'il est chaud. ||| Il faut battre le fer tant qu'il est chaud. ||| - Battons le fer tant qu'il est chaud!","And you know, you have to strike while the iron is hot. ||| They want to capitalize on the publicity from The Post, so we have to strike while the iron's hot. ||| We have to act quickly and seize this opportunity. ||| You gotta strike while the iron is hot. ||| Strike while the iron is hot!"
blanchir de le argent,5,"Quelle était l'entreprise pour laquelle David Clarke blanchissait de l'argent ? ||| Vous blanchissez de l'argent pour lui. ||| - Il pourrait blanchir de l'argent. ||| Bien pratique pour blanchir de l'argent en tant que gros dealer de coke ||| A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","And what was the name of the organization you believe David Clarke was laundering money for? ||| You launder money for him. ||| He could be laundering money. - So? ||| Which comes in handy to launder all the money he makes as the biggest coke dealer ||| On the right, a holding company that Khasinau uses to launder money."
boire comme un trou,5,"Elle a commencé à boire comme un trou. ||| Vous avez dû boire comme des trous. ||| ""Putain de salope, arrête de boire comme un trou au déjeuner. ||| Ils boivent comme des trous. ||| Il a commencé à boire comme un trou.",She started a drinking binge. ||| How much did you drink? ||| You shouldn't have drank so much water at lunch! ||| They're drinkin' like fishes. ||| Started drinking like a fish.
ce ne être pas son oignon,5,"Donc, ce n'est pas tes oignons, ok? ||| Ce ne sont pas mes oignons, bien sûr, mais maintenant que Victor en a un ||| Et ça non plus, ce n'est pas tes oignons. ||| - Ce n'est pas tes oignons. ||| Ecoutez, peu importe les sentiments que vous avez eus du vivant de votre ami, ce n'est pas mes oignons.","That mean, it's none of your business, right? ||| It's not my business, of course, but now that Victor has one-- ||| And this isn't any of your business, either. ||| - Nothing, don't look at it. ||| Sir, whatever you gentlemen felt for each other when your friend was still alive... is certainly none of my affair."
chercher le petit bête,5,"On cherche la petite bête? ||| Ah, Veronica... C'est ce qui s'appelle chercher la petite bête. ||| Là, ça fait le mec qui cherche la petite bête. ||| - Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête. ||| Ils cherchent la petite bête, pour que rien ne flanche.","Lookin' for some loopholes, huh? ||| Ah, Veronica... this is really grasping at straws. ||| That will look like nit-picking. ||| I show you something fantastic, you find fault. ||| Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?"
coup de foudre,5,"J'ai eu un vrai coup de foudre. ||| C'est un coup de foudre. C'est inoffensif. ||| Tu as regardé ""Coup de foudre à Notting Hill"" pour moi? ||| Tu crois que cette fille, cette bombasse a vu Éric, elle a flashé, hop, coup de foudre. ||| Barbara a eu le coup de foudre en voyant une photo de toi dans People magasine",It was love at first sight. ||| It's a crush.It's harmless. ||| You watched Notting Hill for me? ||| Really? You think that 25-year-old sex bomb saw Eric and suddenly fell in love with him? ||| Barbara fell enchanted vith you in a picture in People magazine
coûter le œil de le tête,5,"Mais Carthagène, ça coûte les yeux de la tête. ||| Tu sais, les deux enfants sont à St Margaret maintenant, et ça nous coûte les yeux de la tête. ||| Ça me coûte les yeux de la tête. ||| Ça m'a coûté les yeux de la tête. ||| C'est dépassé et ça coûte les yeux de la tête.","But I'll tell you, Cartagena is really expensive. ||| You know, both kids are at St. Margaret's now, and that costs an arm and a leg. ||| That costs me an arm and a leg. ||| You have no idea how much money I've spent on dolls. ||| It's outdated and expensive as shit."
crever le dalle,5,"- J'arrive pas à dormir. Je crève la dalle. Regarde sur quoi je tombe. ||| Ouais, je crève la dalle. ||| On crève la dalle. ||| Je crève la dalle. ||| Une heure après, vous crevez la dalle.","I can't sleep because I'm starving and look what's on TV. ||| Yeah, I'm freaking starving. ||| -We were starving. ||| Look, I gotta eat, okay? ||| You go in there and spend 50 and eat for an hour and a half, and a half hour later you´re starving to death."
donner son langue à le chat,5,"Il a donné sa langue au chat. ||| - Je donne ma langue au chat. ||| Vous avez donné votre langue au chat? ||| Je donne ma langue au chat. ||| - Je donne ma langue au chat, James.","Seems the cat got Watts's tongue. ||| - I give up. ||| Cat got your tongue? ||| What is it? ||| - You've got me, James."
en avoir marre,5,"J'en ai marre, marre de Napoléon Quatorze. ||| J'en avais marre de tes âneries. ||| Il adore les sucettes et en a marre d'en tenir six à la fois ? ||| J'en ai marre d'être sous ce soleil... à discutailler avec un aspirant dictateur. ||| Elle en a marre que je sente l'iodoforme.","And I'm sick of it, Aeryn! I'm sick of Napoleon the Fourteenth, ||| Lister, I did that because I was sick of you annoying me. ||| Maybe he's really into lollipops, and he's tired of housing six at a time? ||| Now, look, I'm tired of hanging around under this sun... playing footsie with a half-pint would-be dictator. ||| She says I have to stop smelling of iodoform."
en avoir ras-le-bol,5,J'en ai ras-le-bol. Pas vous ? ||| J'en ai ras-le-bol que tu foutes toujours le bordel et que je doive nettoyer par la suite. ||| J'en ai ras-le-bol de 1973. ||| J'en ai ras-le-bol de tes phénomènes paranormaux. ||| Elle en avait ras-le-bol de toi.,I'm sick and tired of this. ||| I am sick as hell of you constantly making a mess Of this house and having to clean up after you. ||| I'm bloody sick of 1973. ||| You and your supernatural phenomena. You're driving me crazy. ||| She was sick of you.
en avoir raître le bol,5,"J'en ai ras le bol! Ho! ||| J'en ai ras le bol de ce travail. ||| J'en ai ras-le bol d'être ici, je veux rentrer chez moi. ||| Pour guérir mieux, plus vite. J'en ai ras le bol d'être ici quand mes amis sont là-bas. Je ne peux le dire à personne. ||| - Non. J'ai chaud et j'en ai ras le bol.","I'm sick and tired of ... ||| I can't stand this job anymore. ||| The fuck can... I'm tired of this shit. I want to go home ||| So I can get better fast, because I'm sick and tired of being here while my friends die over there, and I can't tell anyone that, because they won't get it. ||| I'm hot, and I'm fuckin' bored."
en avoir rien à cirer,5,"Et je n'en ai rien à cirer. ||| Et même si tu te fous de ma gueule en ce moment, j'en ai rien à cirer! ||| Les enflures dehors n'en ont rien à cirer de nous ! ||| Je vous avais dit qu'elle en avait rien à cirer de moi. ||| J'en ai rien à cirer!""","And I don't give a damn. ||| And I don't even care if you're telling me a bunch of lies. ||| Them motherfuckers outside this place don't give a fuck about us. ||| I told you she doesn't give two shits about me. ||| I don't give a goddamn!"""
en avoir rien à faire,5,"Chéri, je croyais que tu en avais rien à faire de cet arbre. ||| Mais je n'en ai rien à faire [br]de ces détails! ||| J'en ai rien a faire de vivre les deux prochaines heures. ||| Et la police n'en avait rien à faire. ||| Au lieu de leur rentrer dedans comme si tu n'en avais rien à faire.","Honey, I thought you didn't care about the tree. ||| Those are careless details! ||| Look, I don't care about living through the next two hours. ||| Stolen. The police couldn't have cared less. ||| Instead of coming across like you don't care."
en avoir rien à foutrer,5,"Votre argent et vos amis puissants, j'en ai rien à foutre, Gartley. ||| De toute façon, j'en ai rien à foutre. ||| ""J'en ai rien à foutre de Mozart !"" Parfait ! ||| Fais ce que tu veux, j'en ai rien à foutre. ||| J'en ai rien à foutre.","Hey, all your powerful friends and all your money don't mean shit to me, Gartley. ||| I don't care what the hell you're doing. ||| ""I do not give a shit about Mozart!"" Perfect! Remove. ||| Suit yourself. See if I care. ||| I'm not giving you shit."
en faire tout un fromage,5,"Pourquoi t'en fais tout un fromage ? ||| Je sais pas pourquoi elle en fait tout un fromage. ||| Pourquoi est-ce qu'il faut en faire tout un fromage ? ||| Cette stupide bague dont ta famille en fait tout un fromage ? ||| Ouais enfin, on va pas en faire tout un fromage.","Why are you making such a big fuss over it? ||| I don't know why she's making such a big deal out of a wedding. ||| Why does it have to be such a big deal? ||| Oh, that stupid ring that your family holds onto like a bunch of hobbits? ||| Yeah, well, let's not make a big deal out of it."
en prendre de le graine,5,"Ce serait à lui de m'écouter, pour en prendre de la graine. ||| Tu aurais pu en prendre de la graine. ||| Ton équipe pourrait en prendre de la graine. ||| Je devrais en prendre de la graine. ||| - Oui, tu devrais en prendre de la graine.",L... I don't have all the answers. But maybe he should listen to me more and learn a little. ||| You could have followed others' lead. ||| Something your team could learn about. ||| I should learn from you. ||| - You should take a page from his book.
faire gaffe,5,"Fais gaffe Lindsey, surveille-les bien. ||| Fais gaffe, l'oiseau ! ||| - À ta place, je ferais gaffe à mon cul. ||| Fais gaffe oû tu mets les pieds, j'ai tout astiqué. ||| - Tous chez Faucelli! - Aux baraques, faites gaffe!","Watch them, Lindsey. Keep an eye on 'em. ||| Whoa, bird! Watch out for the... ||| - Lf I was you, I'd watch my ass. ||| Watch where you're walking, I just mopped here. ||| Back to the sheds, and keep your eyes open!"
faire le andouille,5,"J'aimerais qu'ils arrêtent de faire les andouilles. ||| Si les enfants font les andouilles, on peut leur mettre une gifle. ||| Quand on était petits, on croyait que maman faisait l'andouille. ||| Il a fait l'andouille et maintenant il en récolte les fruits . ||| Pourquoi tu te crois toujours obligé de faire l'andouille ?","[groans] I wish these kids would stop acting up. ||| If the kid's misbehaving behind you, you can reach and whack him. ||| Remember when we were kids and we thought mom was just being silly? ||| He acted like a jerk and now he caught it in the butt. ||| Why do you have to act like an idiot?"
faire le gras matinée,5,"Écoute. Fais la grasse matinée. ||| Eh bien, si c'est uniquement celà, tu peus faire la grasse matinée demain. ||| J'ai commencé à faire la grasse matinée les dimanches matins. ||| Je vais apprendre à me détendre, à faire la grasse matinée. ||| C'est samedi, et c'est notre journée de repos. On va pouvoir faire la grasse matinée.","Well... you better sleep late this morning. ||| Well, if that's all it is, you can sleep late tomorrow. ||| I started sleeping in on Sunday mornings. ||| Yep. I'm going to relax and sleep late. ||| It's Saturday, that's our day off and we're gonna get to sleep in."
faire le sourd oreille,5,"Je croyais pouvoir continuer à faire la sourde oreille. ||| Au moins avant, elle pouvait faire la sourde oreille aux cris. ||| Comment pouvez-vous accepter de faire la sourde oreille à ceux qui souffrent sur une carte ? ||| Et elle a fait la sourde oreille. ||| Tu parleras au conseil, mais il fera la sourde oreille.","I guess I thought I could just go on not caring. ||| At least before, she could tune out the crying. ||| How convenient that must be for you, to turn a deaf ear to those who suffer behind a line on a map. ||| And she shut me down completely. ||| You will go before the council, but your words will fall on deaf ears."
faire le tête,5,"Combien de temps vas-tu encore me faire la tête ? ||| Est-ce que tu me fais la tête? ||| Tu fais la tête. ||| Tu as décidé de me faire la tête, c'est ça ? ||| Oui, c'est vrai, je pense que tu as fait la tête non stop de 1992 à 1994 peut-être.","All right, how long are you gonna stay mad at me? ||| Is this supposed to be the silent treatment? ||| Now you're sulking. ||| You are giving to me the silent treatment. ||| Yes, right, I think you sulked nonstop from about 1992 to '94 maybe."
faire un queue de poisson,5,"Il m'a fait une queue de poisson. ||| Ce type m'a fait une queue de poisson. ||| Tu m'as fait une queue de poisson. ||| Un jour, un type a fait une queue de poisson à Pinker. ||| Il t'a fait une queue de poisson sur l'autoroute.","- He cut in on me. ||| The guy cut me off. What was I supposed to do? ||| You cut me off, bitch. ||| One time, this guy cuts Pinker off on the highway. ||| He cut you off on the freeway."
faire un tabac,5,"Ça ferait un tabac. ||| Ça ferait un tabac ! ||| Je ferais un tabac avec un car vidéo-mobile. ||| Il a bossé un an et à son retour, il a fait un tabac. ||| Vous pourriez faire un tabac.",I'm sure it'd be really popular. ||| People would love it! ||| - I can get the jump on everybody if I get a remote. ||| He just worked his ass off for a year. He come back. And he hit it big. ||| You could be really big.
filer à le anglais,5,"22 personnes qui filent à l'anglaise, tu t'imagines ? ||| Je vais filer à l'anglaise pour ne pas gâcher la fête. ||| Pourquoi avez-vous filé à l'anglaise? ||| Vous avez filé à l'anglaise ? ||| Il a filé à l'anglaise.","You don't want 22 people skipping all in one day, do you? - Of course not, but... ||| I thought I'd just sneak away quietly. I don't want to spoil the party. ||| Why'd you give them the slip up at the hospital? You don't like the place? ||| Say, did you sneak out of here? ||| He was tired and slipped away."
"il faire un froid de canard,un froid de canard",5,"Sapristi, il fait un froid de canard. ||| J'avais déjà gaspillé l'argent que j'avais reçu à ma sortie, et avec ce vent, il faisait un froid de canard. ||| - Il fait un froid de canard. ||| Il fait un froid de canard. ||| Il fait un froid de canard, ici.","Oh, Jiminy. It sure turned cold. ||| I'd already blown the money they gave me. And the north wind was colder than hell. ||| - It's freezing cold! ||| It's colder than a well digger's ass, man. ||| It's freezing here."
il falloir souffrir pour être beau,5,"Il faut souffrir pour être belle, chérie. ||| Maman dit qu'il faut souffrir pour etre belle. ||| Il faut souffrir pour être belle. ||| Il faut souffrir pour être beau. ||| Il faut souffrir pour être beau !","Beauty is pain, baby. ||| Mommy says beauty is pain. ||| And that's a good thing? ||| No pain, no gain. ||| Agony fashion !"
il ne y avoir pas un chat,5,"Il n'y avait pas un chat dans le coin. ||| Il n'y a pas un chat ici ! ||| À 4h du matin, sur les routes d'Akina il n'y a pas un chat. ||| Il n'y avait pas un chat, alors j'ai commandé un cocktail. ||| Il n'y aura pas un chat à moins que les joueurs ne viennent avec des souris.","Not a single person was in sight ||| There's no one in here! ||| There's not a soul there at 4 in the morning. ||| There wasn't a soul to talk to, so I ordered a sidecar. ||| The game won't draw flies unless the players bring their horses."
jeter le argent par le fenêtre,5,"Nous jetons l'argent par les fenêtres. ||| Ta mère jette l'argent par les fenêtres. ||| Ça lui apprendra à jeter l'argent par les fenêtres ! ||| Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres. ||| On résout les problèmes en jetant l'argent par les fenêtres ?","We're throwing all our dough in ||| Your mother is squandering money. ||| I'm going to teach that boy a lesson. Yes, that's what he deserves  throwing nickels around like that. ||| You spent your life squandering your money. ||| That's the spirit. Solving problems by throwing money at them."
jeter le éponge,5,"On devrait jeter l'éponge. Quoi ? ||| - Comment ça, vous jetez l'éponge ? ||| Le toebib a jeté l'éponge ae 6e roend. ||| Tu te planques ? Tu crois que je vais jeter l'éponge ! ||| Sa dernière tension est à 70, mais Bailey veut pas jeter l'éponge.","I think we should give up. ||| - What? What do you mean, quitting? ||| The doctor threw in the towel in the sixth round. ||| You think you've escaped? ||| Her last systolic was in the 70s, but Bailey's not ready to throw in the towel yet."
jeter un coup de oeil,5,"- Alors, vous voulez que je jette un coup d'oeil? ||| Je devrais aller jeter un coup d'oeil aux personnes du CMI. ||| Je suis revenu avec des glacières médicales, un conteneur scellé, mais, une fois, j'ai jeté un coup d'oeil. ||| Ça ne vous dérange pas si on jette un coup d'oeil ? ||| Laissez-moi juste jeter un coup d'oeil.","- So, you want me to take a look? - Where? ||| I should check in with the I.D.C. rep. ||| I flew back with medical ice chests, coolers sealed up tight, but I got a look once. ||| I hope you don't mind if we look around. ||| Just give me one stroll around the foot."
joindre le deux bout,5,"J'arrive à peine à joindre les deux bouts. ||| Écoute, on travaille 70 heures par semaine pour joindre les deux bouts. ||| Le pauvre a eu du mal à joindre les deux bouts, dernièrement. ||| Comment vais-je joindre les deux bouts ? ||| C'est dur de joindre les deux bouts, mais encore plus d'épargner.","Okay, I am barely scraping by. ||| Look, we work 70 hours a week just to keep pace, right? ||| Poor guy's been struggling lately. ||| How, how am I going to make ends meet, mmkay? ||| Breakin' even's hard enough, but getting ahead's impossible."
le doigt dans le nez,5,"Ils remonteront jusqu'à nous, les doigts dans le nez. ||| C'est les doigts dans le nez, mec. ||| Vous devriez voir comment Will passe les exams les doigts dans le nez. ||| Je te bats les doigts dans le nez. Si c'est que tu veux, d'accord! ||| Je penserais que j'y suis arrivée les doigts dans le nez et je le regretterais.","They will read this one with their eyes closed. ||| That's fish in a barrel, dude. ||| Yes, sir, you ought to see the way Will breezes through these tests. ||| I could beat you hands down, but if that's what you want, you can have it! ||| I'll think I aced it and I'll live to regret it."
le fin de le haricot,5,"La fin des haricots ! ||| - ""La fin des haricots."" - Des haricots latins ! ||| C'est pas la fin des haricots. ||| Ce n'est pas la fin des haricots... ||| Ce n'est pas la fin des haricots.","The whole ride's over. ||| - ""That's how the cookie crumbles."" - ln Latin! ||| listen, uh... It's not the end of the world. ||| There, there, Esme. It's not the end of the world. ||| That's the last straw!"
le goutte de eau qui faire déborder le vase,5,"Ce fut la goutte d'eau qui fit déborder le vase. ||| Et bien, c'est la goutte d'eau qui fait déborder le vase. ||| Tu sais, la goutte d'eau qui fait déborder le vase... ||| Pour la Fox, c'était la goutte d'eau qui faisait déborder le vase. ||| C'est la goutte d'eau qui fait déborder le vase.","And that pushed me over the edge. ||| Well, that is the last straw. ||| Did you ever hear about the straw that broke the camel's back? ||| For Fox, this was the final straw. ||| That's the last straw. I'm going over there."
le habit ne faire pas le moine,5,"""L'habit ne fait pas le moine"". ||| - Eh oui, l'habit ne fait pas le moine. ||| L'habit ne fait pas le moine. ||| - l'habit ne fait pas le moine. ||| L'habit ne fait pas le moine, pas vrai, les gars ?","""A wolf in sheep's clothing."" ||| Yes, clothes don't make the man. ||| Not everything's as it seems ||| - One man's ceiling is another man's floor. ||| Sure as shit can't tell a book by its cover, huh, boys?"
manger sur le pouce,5,"Je n'aime pas te voir manger sur le pouce. ||| J'ai mangé sur le pouce. ||| J'ai mangé sur le pouce. ||| Au lieu de ça, je mangeais sur le pouce et je me rendais à un spectacle amateur de kabuki. ||| Y a t-il des en-cas à manger sur le pouce ?","When I see you eat like that, I... ||| I kinda ate on the run. ||| I kinda ate on the run. ||| Instead, I stopped at my favorite sidewalk cafe for a quick bite, and was on my way to some kind of amateur kabuki performance. ||| Is there any finger food?"
mettre son grain de sel,5,"Sans vouloir mettre mon grain de sel, supposons que vous ayez raison et que Drake soit un espion... ||| Peut-être que tu pourrais mettre ton grain de sel. ||| Il a assez mis son grain de sel quand on écrivait le discours... ||| Tu veux mettre ton grain de sel ? ||| Donc tu dois venir me voir quand tu veux mettre ton grain de sel.",I don't wanna get too wrapped up in your caper... but let's assume that you're right and Damian Drake is a spy? ||| Maybe you could chip in. ||| We got enough input from him while we were writing the thing. ||| Don't you want to put your 2Â¢ in? ||| So you need to consult with me before you do anything like this.
ne y voir que du feu,5,"""Je coucherai avec lui mardi et jeudi et il n'y verra que du feu"". ||| On n'y voit que du feu. ||| Ils rataient des trucs. Si on était malin, ils n'y voyaient que du feu. ||| Elle n'y verra que du feu. ||| Il s'attaquait à une pauvrette qui n'y voyait que du feu.","I'll have sex with him Tuesday and Thursday and he'll be none the wiser. ||| Smoke and mirrors. ||| If a director was subtle enough and clever enough, they got around it. ||| She's won't notice anything. ||| He was gonna put the hurt on this poor girl who didn't know any better."
partir en fumée,5,"Mon carburant à moi est parti en fumée. ||| Sinon, je jure que ce petit Ewok va partir en fumée ! ||| - Tout partira en fumée, sauf la prison. ||| Il n'y a aucun plaisir à voir la fierté partir en fumée. ||| Les 180 millions, partis en fumée.","My own fuel went up in smoke. ||| Swear to God, this little ewok is going up in flames! ||| - Everything goes, except the jail. ||| ""I don't think so, no pride in what goes up in smoke"" ||| 180 millions faded away, huh?"
pas son tasse de thé,5,"Tu sais, papa, tout bien réfléchi, l'industrie du miel, c'est pas ma tasse de thé. ||| Comme disent les Anglais: ""C'était pas ma tasse de thé."" ||| Il fabrique des punaises depuis 1888, et les campagnes modernes, c'est pas sa tasse de thé. ||| Vos films, ne sont pas ma tasse de thé. ||| Le gardiennage n'est pas ma tasse de thé non plus.","You know, Dad, the more I think about it, maybe the honey field just isn't right for me. ||| It wasn't my cup of tea. ||| He's been making thumbtacks since 1888 and he doesn't go for this modern hoopla. ||| Your movie is not my teacup. ||| Babysitting isn' t my thing either"
