idiom,num_contexts,fi_contexts,english_translations
ihminen ilma,5,"Partiz katosi ihmisten ilmoilta. ||| Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö? ||| Otetaanpas sinut ihmisten ilmoille. ||| Huhun mukaan olet käynyt enemmän ihmisten ilmoilla. ||| Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.","So, Ronnie Partiz now goes deep underground. ||| You will meet someone if you go out and try to meet people. ||| Come on, little mate, out you come. ||| So, rumor has it, you're getting out more often. ||| As people with no ID no money no memories do."
itsepintaisesti,5,Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti ||| Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa. ||| Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta. ||| Silti sinä itsepintaisesti haluat rakastaa minua. ||| Onko korvissanne soinut itsepintaisesti?,"Finding a way out is something the Bougainvillians tend to do with startling regularity. ||| This gentleman is most insistent upon speaking to her ladyship, sir. ||| Leaving from there, insistent and superficially, it defended the theory of death for natural causes. ||| And yet you're obstinate in your desire to do so. ||| Have you been hearing a persistent ringing in your ears? Almost an agreeable ringing?"
jo alkaa lyyti kirjoittaa,5,- Jo alkaa lyyti kirjoittamaan. ||| - No johan alkoi lyyti kirjoittaa. ||| - Jo alkoi lyyti kirjoittaa. ||| Jo alkoi Lyyti kirjoittaa. ||| Jo alkoi lyyti kirjoittaa.,"- Well, that's more like it. ||| - Now we're getting someplace. ||| - Now we're getting somewhere. ||| Now we're getting somewhere. ||| Well, now you're singing a tune that we may dance to."
jumala selkä takana,5,"Sayid oli jumalan selän takana. ||| Me olemme jossakin helvetin methlabrassa jumalan selän takana. ||| Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana. ||| Täällä jumalan selän takana ei ole kyttyyiä. ||| Täällä jumalan selän takana, suuri virran kulutus paljastaisi homman FBI: lle.","Sayid was in the middle of nowhere. ||| We are stuck in a shed in the middle of lorteland. ||| You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere. ||| It's a rowdy place. It's out in the middle of nowhere. ||| Out here in the sticks, the Feds are tipped off to high consumption."
kaita polku,5,"Toivottavasti hän onnistuu pysymään kaidalla polulla. ||| Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille. ||| Useampikin vartija on eksynyt kaidalta polulta. ||| Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle. ||| Lähden kaidalle polulle.","Now, if only she can strike that happy balance between creative curiosity and criminal trespass. ||| That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account. ||| Um... I show more than a few prison guards that have strayed from the path of righteousness. ||| It was your class that got Kristen off the cannabis and onto the right track. ||| I'm giving up the trade, going straight."
kana kynittää,5,"Jos selviän, minulla on kana kynittävänä kanssasi. ||| Meillä on kana kynittävänä. ||| - Sinullakin oli kana kynittävänä. ||| Minulla on kana kynittävänä. ||| Minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know. ||| I've got a score to settle with you. ||| And then there's your beef with her on top of that. ||| I have a score to settle. ||| I've got a bone to pick with you, Detective."
kankkula kaivo,5,"1900 dollaria kankkulan kaivoon. ||| 250 dollaria meni kankkulan kaivoon. ||| Pantavaksi kankkulan kaivoon. ||| Johtuu kai siitä, että rahat meni kankkulan kaivoon. ||| Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.","Nineteen hundred dollars down the drain. ||| $250 and we didn't learn a goddamn thing. $250? ||| He's asking us to fund a wild goose chase. ||| I guess it's having just thrown $200,000 into the toilet. ||| Now, we're talking about millions of dollars of merchandise down the drain."
keskellä ei#mitä,5,"Se on aidattu ja keskellä ei-mitään. ||| Meidän ei pitäisi tehdä tätä keskellä ei-mitään. ||| Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa. ||| Aika keskellä ei-mitään malariaklinikaksi. ||| Aina keskellä ei-mitään, salassa.","I don't know. It's in the middle of nowhere. It's all fenced in. ||| We shouldn't do this in the middle of nowhere. ||| If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else. ||| It's kind of in the middle of nowhere, isn't it, for a malaria clinic? ||| Always in the middle of nowhere, hiding?"
kivi alla,5,"Vapaaehtoiset ovat kiven alla. ||| Tietyt tiedot ovat kiven alla. ||| Vastaukset olivat kiven alla. ||| Hyvät miehet ovat kiven alla. ||| Ihan sama minne, kunhan liput ovat kiven alla.","I'm having a tough time finding volunteers. ||| It's just, some of the information I need, it's like getting blood out of a stone. ||| Okay. But he was finding it difficult to get any answers. ||| It is impossible to find a good guy in this city. ||| Anything hard to get. I don't give a fuck what. Neither will they."
koira haudattua,5,"Arvasin, että tähän on koira haudattuna. ||| Sanoit, että siinä on koira haudattuna. ||| Anteeksi jos olen hieman skeptien, mutta viimeksi kun liittovaltojen agentti tuli tarjoamaan minulle diiliä, siihen oli koira haudattuna... ja sen koiran oli tarkoitus olla minä. ||| - Tuohon taitaa olla koira haudattuna. ||| Luulenpa, että sinulla on koira haudattuna.","I knew there was something else in there. ||| You said it should come without strings. Well, here it is. ||| Now, I'm sorry if I seem a little bit skeptical. But the last time a federal agent came up in here offering me a deal, there was a string attached... that I was supposed to put around my neck. ||| Oh, that compliment sounds like it's got a favor attached to it. ||| McBeal, we need to talk to you. We think you have a donkey on your back."
korjata luu,5,"Korjaa luusi tänne! ||| Meidän on korjattava luumme täältä ja heti. ||| Korjaa luusi täältä. ||| Korjaa luusi käytävästä, George. ||| Korjatkaa luunne!","Bring your ass out here! ||| We need to leave here now! Go! ||| You get your punk ass out of here, fucking bitch. ||| Get out of the god damn hallway, George. ||| Get going!"
korvi,5,"Maalaistalossa, ihan korvessa. ||| Olemme kaukana korvessa. ||| Asut korvessa väärällä nimellä. ||| Vain Angela saa kyydin korvessa. ||| Maatilalle korven keskelle.","Ta-da! I'm in a farmhouse that's miles from anywhere. ||| We are away on the boonies here. ||| You're living in the middle of nowhere under an assumed name. I can help you. ||| Only Angela could get a ride in the middle of nowhere. ||| Had a farm, middle of nowhere."
kuin kaksi marja,5,"Emme olleet kuin kaksi marjaa. ||| Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa. ||| He olivat kuin kaksi marjaa. ||| - Olettekin kuin kaksi marjaa. ||| Sano, kuin kaksi marjaa.","Not that Conor and I were peas in a pod. ||| My older brother and my ward getting along like two peas in a pod. ||| I figured hey, birds of a feather. ||| Makes sense. You're carbon copies of each other. ||| Say two peas in a pod."
kuin viili#pytty,5,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain. ||| - Sinä olet kuin viilipytty! ||| Hän on kuin viilipytty. ||| Ja minä pidin pääni kylmänä. Olin kuin viilipytty. ||| Sinä olet varmaan viileä kuin viilipytty.,But you're so smooth I figured you were hiding something too. ||| You look about as stirred up as a cesspool. ||| He always kept his head. ||| - I had a chill in my back. ||| You're probably cool as a cucumber.
kääntää kelkka,5,"Joo, ennen kuin hän käänsi kelkkansa. ||| Hän käänsi kelkkansa hiljattain. ||| Hän on kääntänyt kelkkansa. ||| Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä. ||| Olen kääntänyt kelkkani.","Yeah, I knew him once, before he turned his back. ||| Yes, but she's become one quite recently. ||| I think she flipped. ||| But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox? ||| I'm all turned around, you know."
lähteä vetää,5,"Lähde vetämään täältä. ||| Selvitä, kuka hänen toimittajansa on, ja lähde vetämään. ||| Nyt lähti vetämään. ||| Lähtekää vetää täältä. ||| Meidän pitää muutenkin lähtee vetään.","Get out of here. ||| Find out who his supplier is and then get out of there. All right? ||| Oh! Hey, here we go. ||| All right, get outta here. ||| Yeah, we gotta bounce anyway."
maksaa itse kipeä,5,"He maksavat itsensä kipeäksi. ||| Jos lapsi sattuu sairastumaan, maksat itsesi kipeäksi lääkkeistä. ||| Syyttömiä tuomitaan joskus, vaikka he maksavat itsensä kipeäksi. ||| Maksoin itseni kipeäksi, mutta Alexis innostuu. ||| Maksoimme itsemme kipeiksi siitä.","In fact, they'll pay through the nose for it. ||| Yeah, well, Fiona already said if I have the baby, she's throwing me out, so I don't even care if we lose the house. ||| There are some people that, no matter how much money they threw at the case, were convicted and shouldn't have been. ||| - Oh. Cost me an arm and a leg but Alexis will be thrilled. ||| - Paid through the nose for it."
matti kukkaro,5,"Oli matti kukkarossa Mutta ei kauan, jos Obama selättää laman. ||| Minulla on matti kukkarossa. ||| On matti kukkarossa, pöljä! ||| Omalla kohdallani matti kukkarossa on pieni este. ||| Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.","I couldn't afford much, but not for long, if President Obama ends the recession tonight! ||| I could never be this broke. ||| We are broke, you dumbass! ||| Speaking for myself, bone-crushing poverty is something of a stumbling block. ||| You show up to L.A., you got nothin' but your ding-dong in your hands."
mennyt talvi lumi,5,"- Älä nyt, se on menneen talven lumia. ||| - Se on menneen talven lumia. ||| Buck on menneen talven lumia, kaikki muut tietävät sen. ||| - Vai menneen talven lumia? ||| Menneen talven lumia. Nyt saksalaiset ja amerikkalaiset ovat ylimpiä ystäviä.","Come on, that's water under the bridge now. ||| Detective, that is all water under the bridge now. ||| - Okay. It is over for Buck and everyone knows it but him. ||| Water under the bridge? ||| But that is water under the bridge, now that the Germans and Americans are best friends."
mennä pipari,5,"Anteeksi, mutta heroiinia sisältävä kondomi räjähti vatsassani, niin että koko päivä meni pipariksi! ||| Suunnitelma kariutui ja meni pipariksi. ||| Toinenkin yritys meni pipariksi. ||| Koko homma meni pipariksi! Juokse! ||| - Ensimmäinen päiväni meni pipariksi.","Well, excuse me, Kimmy. But a condom full of heroin exploded in my stomach, so this whole day has been for the birds! ||| The plan just crashed and burned. ||| -Well, from what I can see, He didn't do a better job the second time. ||| The whole thing's gone in the crapper, kid! ||| First day on the job, I lead us straight into an ambush."
mennä yli hilse,5,"- Tekoäly menee yli hilseen. ||| Menee yli hilseen. - Olemme tavanneet. ||| Tajuan joitain juttuja, mutta osa menee yli hilseen. ||| Se meni yli hilseen. ||| Tämä meni yli hilseen.","All this A.I. stuff is way out of my league. ||| I'm sorry, am I missing something? ||| I can go along with some things, but... some things make no damn sense. ||| It went right over her head. ||| This is just way over my head."
nalli kallio,5,"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle. ||| Shane jäi kuin nalli kalliolle! Britit voittivat kirkkaasti! ||| Et voi jättää toista kuin nallia kalliolle. ||| -Selvä. Jätätkö minut nalliksi kalliolle taas? ||| Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","In this case, my client paid for the wedding and was hung out to dry. ||| After our first-innings victory, Jeremy decided that for the second challenge, we should re-run a race we'd first tried against the Germans. ||| But you cannot just leave someone alone like that! ||| You gonna leave me sitting on my ass like you did yesterday? ||| In this case, my client paid for the wedding and was hung out to dry."
nousta väärä jalka,5,- Kuka nousi väärällä jalalla tänä aamuna? ||| Nousitko väärällä jalalla sängystä? ||| Taisi nousta väärällä jalalla tänään. ||| Joskus sitä nousee väärällä jalalla. ||| - Nousitko väärällä jalalla?,"Look who didn't get out of bed on the wrong side this morning. ||| Did someone wake up on the wrong side of the bed? ||| Talk about getting off on the wrong foot. ||| You get up on the wrong side of the bed. - You haven't brushed you teeth. ||| - You got up the wrong side, huh?"
oja allikko,5,Ryhmän päämajassa asiat menevät ojasta allikkoon. ||| Jouduimmekohan ojasta allikkoon? ||| Ojasta allikkoon! ||| Joudutte ojasta allikkoon. ||| Taisimme joutua ojasta allikkoon.,"Back at base, things are going from bad to worse. ||| Out of the frying pan; hopefully, not into the fire. ||| Out of the frying pan, into the fire. ||| You go from bad to worse, Colonel. ||| Looks like the fat's not out of the fire yet."
olla hukassa,5,"-Olen hukassa. ||| - Olen hukassa. ||| Jos olet hukassa tässä talossa, mene pelloille. ||| llman venepyssyä, olemme hukassa. ||| Hän on hukassa, herra. Pakkomielteinen.","I'm lost. ||| I'm lost. ||| If you're lost in this house go back to the land! ||| Without the punt gun, I feel we're lost. ||| She's undone, sir."
olla lammas,5,"Me olemme lampaiden planeetalla. ||| Emme ole lampaita! ||| -He ovatkin lampaita. ||| Olet lampaiden kasvattama tiikeri. ||| Etsikää oma äänenne. Älkää olko lampaita.""","Here we are, on a planet of sheep. ||| - We are not sheep. ||| - Most people are sheep. ||| You're a tiger raised by lambs. ||| ""Find your own voice."" ""Don't be a sheep."""
oma lehmä oja,5,"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia. ||| - Minulla on tässä oma lehmä ojassa. ||| Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa. ||| Huhutaan, että teillä on oma lehmä ojassa Skotlannin suhteen. Maanpuolustusta tärkeämpää on skottikuningattaren kukistaminen. ||| Lornalla on nyt jokin oma lehmä ojassa.","The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe. ||| It's mostly selfish on my part. ||| You broke with House rules when you bet on a game that you hold a personal stake in. ||| It's the expense of your Scottish cause, which many say is personal, designed more to undermine Scotland's queen than secure our borders. ||| Is that it, Lorna? 'Cause sure sounds like you've got a dog in this hunt."
oppia kanta#pää kautta,5,"Usein oppii kantapään kautta, että naiset ovat häiriöksi. ||| Joskus heidän on opittava kantapään kautta. ||| Kerron sinulle opetuksen, jonka opin kantapään kautta. ||| Minä itse opin kantapään kautta ettei terveydellä kannata leikkiä. ||| Minun täytyi oppia kantapään kautta. Minä opin.","You're not the first man to learn the hard way-- women are a distraction. ||| Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her. ||| Let me give you a lesson that I had to learn the hard way. ||| But you know, me... I had to learn the hard way... not to take chances with this kind of thing. ||| If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly."
ottaa tilaisuus vaari,5,"Ota tilaisuudesta vaarin. Kaikki on täysin laillista. ||| Mukava nähdä, että otat tilaisuudesta vaarin. ||| On otettava tilaisuudesta vaarin. ||| Minä otan tilaisuudesta vaarin, vaikka lapsia ei kiinnostaisikaan. ||| Kannattaa ottaa tilaisuudesta vaarin.","I want you to take this opportunity. ||| Glad to seeyou're taking advantage of the opportunities offered. ||| And when you have an opportunity, you take it. ||| Well, I'm gonna take advantage of this opportunity even if you children aren't interested. ||| You have to make the most of it."
panna tikku ristiin,5,Aiotko sietää ryöstöt ja tapot panematta tikkua ristiin? ||| Yli 800 ihmistä joutui viime vuonna vampyyrien uhriksi Louisianassa. Viranomaiset eivät pane tikkua ristiin. ||| Eihän se että minä annan tarkoita että mies panisi tikun ristiin takiani. ||| Yhdysvallat ei pane tikkua ristiin. ||| Ei pane tikkuakaan ristiin.,"Are you ready to put up with looting and killing without lifting a finger? ||| You know, last year there were over 800 reported vampire-related attacks in Louisiana alone, and the law won't do nothing about it. ||| Just because I'm giving doesn't mean I can expect a man to lift a finger for me. ||| That's my point. The USA isn't going to lift a finger! ||| He does nothing."
pieni päin,5,"Yrititkö kertoa, että olet taas pieniin päin? ||| Pieniin päin. ||| En minä olekaan pieniin päin. ||| Onnittelu, olet toden totta pieniin päin. ||| Betsillä ja minulla on vaikea päästä pieniin päin, jos tajuatte.","You announcing the birth of yet another child? ||| Pregnant... ||| I'm not in the family way after all. ||| Congratulations. Your test confirms you, in fact, have a baby on the way. How about that? ||| You know, um, well, Betts and I are, uh... We're having a hell of a time getting in a family way, if you catch my drift."
pihkka,5,Ehkä hän on pihkassa sinuun. ||| Ja hän taitaa olla pihkassa sinuun. ||| Koska olit pihkassa minuun. ||| - Oletko pihkassa Mackenzieen? ||| Olet pihkassa tyttööni.,"Maybe he has a crush on you. ||| Plus, I think she's got a little thing for you. ||| 'Cause you were into me. ||| Do you have a crush on Mackenzie? No. ||| You got a thing for my girl."
pilvin pimein,5,"Jalkaväkeä oli pilvin pimein. ||| Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein. ||| - Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu... ||| Siellä oli kollegoja pilvin pimein. ||| Sellaisia on Gothamissa pilvin pimein.","Arty and infantry just kept on coming. ||| Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans. ||| We stopped to let the twin turbo V8 cool, but then... it decided to die. ||| The police were everywhere. ||| This is Gotham. That doesn't exactly narrow it down."
potkaista tyhjä,5,"Äiti potkaisee tyhjää, kun saa tietää tästä. ||| Se on voimassa vasta, kun on potkaissut tyhjää. ||| Miten vanha hän oli, kun hän potkaisi tyhjää? ||| Olin töissä vankilan sairaalassa kun Johnny potkaisi tyhjää. ||| Siitä lähtien kun Zac potkaisi tyhjää.","No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this. ||| Yes. It's only effective after you've kicked the bucket. ||| So how old was she when she finally blasted off? ||| Look, I was working at the prison hospital when Johnny Handsome checked out. ||| - Mmm. Oh, ever since Zac bit the dust."
ruosi ranne,5,"B.A., tiedämme että sinulla on ruista ranteessasi. ||| Siinä oli ruista ranteessa. ||| Tästä ruista ranteeseen! ||| B.A., tiedämme että sinulla on ruista ranteessasi. ||| - Hänellä on ruista ranteessa.","And B.A. we know you've got the bulk, baby. ||| Ooh, is there stuff on that pitch! ||| Eat your hearts out! ||| And B.A. we know you've got the bulk, baby. ||| She could do anything. Yeah."
rysä päältä,5,"Kun Frank jää kiinni rysän päältä, sinäkin saat oman välitystoimiston. ||| Connor on ehkä yllätänyt hänet rysän päältä. ||| Jäikö hän kiinni rysän päältä? ||| Ehkä hän haluaa saada heidät kiinni rysän päältä. ||| Smith jäi kiinni rysän päältä varastaessaan lapsilta.","Just think, Vanessa, when you catch Frank cheating on you, you can open your own real-estate agency. ||| Looks like Connor probably, uh, caught him in the act, so... ||| Oh my God! - What, then you caught her? ||| I guess he's trying to catch them at it or... ||| Smith was caught red-handed stealing from boys."
soittaa suu,5,"Soitit suutasi psykopaattien edessä. ||| Kuningas osoitti suurta johtajuutta vaarallisessa tilanteessa. ||| -Älä soita suutasi. ||| Soitan suutani, mutta sanon harvoin suorat sanat. ||| - Älä soita suutasi.","You had to run your mouth in front of psychopaths, didn't you? ||| Yippee. His Majesty showed great leadership in extremely perilous circumstances. ||| I'll bounce you off the wall, son. ||| I mean, I talk a good game, but I very rarely tell people what I think to their face. ||| Don't you brash me."
sokeri pohja,5,"Ja sokerina pohjalla Anne Dettrey, muotitoimittajamme. ||| Ja sokerina pohjalla Sebastian Krajenski. ||| Ja sokerina pohjalla - ulkona on limusiinikolonna - valmiina viemään meidät - strippiklubille! ||| - Ja sokerina pohjalla: ||| Ja sokerina pohjalla, - minulla on Lontoon paras äänentoistojärjestelmä.","And last, as a kind of dessert, Anne Dettrey, our fashion editor. ||| And rounding out the starters: Sebastian Krajenski. ||| And last but not least... there is a fleet of limos outside... waiting to take us to... a strip club! ||| Very good, sir. I saved the best for last. ||| And to top it off... I got the baddest system in all of London."
tulla tupen#rapina,5,"Nyt tuli tupenrapinat! ||| Jos se oli tahallista, heille tulee tupenrapinat. ||| Nyt tuli tupenrapinat ||| Nyt tulee tupenrapinat. ||| Nyt tuli tupenrapinat.","You're gonna regret it! ||| If they did it on purpose, they could get in trouble. ||| ROSE! WHAT ARE YOU DOING? ||| He's going to be so angry. ||| - [ Whimpering Laugh ] Oh, I'm in trouble."
tumpu suora,5,"Pidin sinusta ennen. Et seissyt tumput suorina odottamassa, että jotakin tapahtuu. ||| Älä seiso siellä tumput suorina, Elliot. ||| Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain. ||| Miksi täällä seistään tumput suorina? ||| En voi vain seisoa tumput suorina.","I liked the old you who wouldn't just sit around and wait for things to happen. ||| Don't just stand there, Elliot. ||| So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it. ||| What is everybody doing standing around here? ||| You can't expect me to do nothing."
tykätä kyttyrä,5,"Taidat tykätä kyttyrää. ||| Yksi kaveri tykkäsi kyttyrää, koska pelkää minun vievän paikkansa. ||| Minun on paras jäädä, etteivät pomot tykkää kyttyrää. ||| Roger voi tykätä kyttyrää. ||| Anna potkut, jos tykkäät kyttyrää.","- Getting a hint of disapproval. ||| This kid took umbrage at my presence. 'Cause he thinks I'm gonna take his spot. ||| Oh, no, I'd better hang around because if I leave now, it looks bad upstairs. ||| - Roger may take a dim view of this... ||| And if you don't like that, you can just fire me."
vetää herne nenä,5,Jotkut vetävät herneen nenään. ||| Taisi vetää herneen nenään. ||| Hän veti herneet nenään. ||| Älä vedä hernettä nenääsi. ||| Älä vedä hernettä nenään.,"Some people get pissed off, saying we're taking over. ||| That pissed her off. ||| He was super pissed. ||| Give peas a chance. Now come on. ||| Keep your knickers on."
vetää turpa,5,- Vetämään turpaan? ||| Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan. ||| Sinuna menisin silti vetämään turpaan. ||| - Tuut kans tai vedän turpaan. ||| Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.,"Then shut your mouth. ||| When I got older, I wanted to bump into him and beat him up. ||| Still, man. If I was you, I'd go and kick his arse right now! ||| You better come back or else I'm gonna kick your ass. ||| Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next."
vintti pimetä,5,"Vintti pimeni. ||| Sanoin, että vintti pimeni. Olit kauhuissasi. ||| Sitten vinttini pimeni. ||| Jos tässä jonkun vintti pimenee - niin sinun, usko pois. ||| Vintti pimeni ja kunnolla. Kun heräsin, kävelin ulos ja näin silloin ensi kertaa tämän neitokaisen.","I blacked out. ||| I said, ""Dead out, he was scared shitless. ||| And then I... ||| If anybody's lights are about to go out, believe me, they're yours. ||| So, I passed out hard, and when I wake up, I go outside, and that is the first time I lay eyes upon this young lady."
vääntää rauta#lanka,5,Cheerleaderille pitää kaikki vääntää rautalangasta. ||| - Pitääkö vääntää rautalangasta. ||| - Pitääkö minun vääntää rautalangasta? ||| Väännän rautalangasta. ||| Ei tarvitse vääntää rautalangasta.,"Jeez, you gotta spell everything out for the cheerleader. ||| - Let me connect the dots for you. ||| We should wait for Captain Teitel. ||| Maybe I wasn't clear enough. ||| - You don't have to draw me pictures."
äimän käkenä,5,"- Olenkin äimän käkenä. ||| Olin äimän käkenä. ||| Kaikki elävät koodinmurtajamme ovat äimän käkenä. ||| Olen äimän käkenä. ||| Holztmann, olen äimän käkenä.","- Yeah, well, I'm fucking surprised. ||| I'm thinking, ""What the hell?"" ||| All of our living code breakers are absolutely stumped. ||| I'm amazed. ||| Holtzmann, I am beyond impressed."
