idiom,num_contexts,jp_contexts,english_translations
いい 迷惑 だ,3,まわりの連中は　いい迷惑だな 自分が間違ってることを 君は決して認めない ||| 患者さん　いい迷惑だな。 ||| ５億損失の全ての原因だった というわけですね？ 私としても まったく いい迷惑です,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong. ||| What a nuisance it must be for the patient. ||| I am extremely inconvenienced by all this as well."
いい子 に なる,3,いい子になるのも・・ ||| あなたは走り続けた　スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを ||| では いい子になるのよ,"I was free. ||| You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life. ||| Now remember, Pinocchio, be a good boy."
いざ と いう 時,3,問題児だったけど― いざという時は勇敢だった ||| いざという時が来たら― 君はどのくらいで ラボを引き継げるかな ||| いざという時　やり返す,"He was a real handful... but when it came down to it, he was very brave. ||| If push came to shove, I was wondering how soon you might be able to take over the lab yourself. ||| I'm going out like I came in: screaming and kicking."
お 手 の 物,3,お手の物ね ||| 反対尋問で陪審員は 銃はお手の物だった事が判りますし ||| 男の扱いはお手の物だもんな？,"You're so good with him. ||| So on cross-examination the jury could hear about how well he handled a gun? ||| And I think you'll find a way 'cause I think you know your way around men, don't you?"
お 手上げ,3,お手上げね ||| お手上げだよ ||| あぁ　基本的なことはね 君にはお手上げだろ,"Allergies. Nothing you can do. ||| I wish to hell we did. ||| Yeah, I got the basics. Wow. You are so in over your head."
お 目 に 掛かる,3,とんだところでお目に掛かったな ||| すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です ||| 礼はする、またお目に掛かろう 近いうちにな,"- It's great to see you, Leslie! ||| I'm very pleased, if slightly puzzled, to make your acquaintance. ||| I'm gonna make a problem for you. I'm gonna be seeing you again, real soon."
お 門違い,3,財務長官だったんだよ お門違いどころか ||| そもそも、お門違いだし ||| 身分の違い 願うのは　お門違い,"I was the US Treasury Secretary. I'm in some position to make that call. ||| 'Cause you shouldn't be, anyway. ||| Because you'd be barking up the wrong beanstalk."
きまり が 悪い,3,きまりが悪かったか？ ||| ひどくきまりが悪かったよ たった５分間なのに ||| きまりが悪いわ,You embarrassed about me? ||| It was fucking embarrassing. It was only for five minutes. ||| It's embarrassing.
しょう も ない,3,しょうもない酔っぱらいが ||| しょうもない男と 関係を持ったんだ ||| - トレントしょうもないやつだ,You fucking drunk. ||| Hooked up with this guy. He was no good. His name was... ||| Trent was a dick.
その 手 は 食う ない,3,その手は食わないわ ||| その手は食わない ||| もうその手は食わないわ,"Oh, no, I'm not falling for that. ||| I know what you're doing. ||| I'm not falling for this shit."
それ は それ は,3,それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね ||| めっちゃ うれしかった それは それは普通にうれしかった 俺は ||| それはそれは ご立派な心掛けで,"Okay. Well, you look adorable. It really brings out your eyes. ||| -Yeah, it made me super happy. It made me happy. ||| That's quite admirable of you."
ちょっかい を 出す,3,ちょっかいを出してるんじゃないよ ||| オオカミにちょっかいを出すと 群れでやって来るぜ さっきの仕返しだ ||| ちょっかいを出したくなかったけど,"I'm not bothering them none. ||| Guess nobody told you, if you mess with the wolf, you get the fangs. ||| I didn't mean to interfere, you know. Silly girl."
ちょっと する た,3,ちょっとした金 ||| より汁気の多い料理を作れるし、 ちょっとした見栄えと演出も 料理に加えられる。 ||| 私が冒険中 ちょっとした相棒を得るなら それは 感情や 気まぐれからではありません 多くの素晴らしい資質を 持っているということです,"A little money. No, sorry. ||| It creates a more succulent dish and adds a little theatricality to dinner. ||| If I burden myself with a little helpmate during my adventures, this is not out of sentiment or caprice, it is that he has many fine qualities of his own that he has overlooked in his obsession with me."
とどの つまり,3,とどのつまりだな　ジョン 我々が心と頭を奉げる対象とは 一人の男ではなく　理想なのだよ ||| とどのつまりは 殺されるってのに ||| とどのつまりはな,"Ultimately, John, we owe our hearts and our minds not to any one man but to an idea, and that idea is under threat. ||| And you are en route to getting yourself killed, ||| Eventually, yeah."
みる て みる ぬ 振り,3,あんたは見てみぬ振りで 満足だっただろうが あんたには口がある ||| 見て見ぬ振りをしています ただ... ||| 見て見ぬ振りをした,"You were more than happy to turn a blind eye, but... you're not dumb. ||| I stay out of the way. ||| You just looked the other way."
みる に 堪える ない,3,今から起きることは 見るに堪えない ||| 見るに堪えないわ ||| 見るに堪えなかった？,What's about to happen is gonna be hard to watch. ||| I can't watch. ||| Was it painful to see?
よく 言う,3,よく言うよ ||| 生徒と寝といて よく言うな ||| 盗んだ女の分際で よく言うわ,He pressed you. Come on. ||| Says the teacher who sleeps with his students. ||| That's pretty rich coming from the woman who stole Alex to begin with.
アキレス 腱,3,"彼の ""アキレス腱"" だ ||| 良いニュースは 彼女のアキレス腱は ||| 私の ""アキレス腱""","His Achilles heel. ||| Yes, the good news, she may have her own Achilles' heel. ||| My Achilles heel."
スタート を 切る,3,君たち　キャフリーは　我々より４時間も前に 有利なスタートを切ったことを忘れるな ||| 新しいスタートを切り　古いしがらみも絶った ||| いつか 君の復帰する日が 来ることを願おう 初めから　支配人とは いかないだろうが 再スタートを切り 信頼を回復しろ,"Gentlemen, might I remind you that Caffrey has a four-hour head start? ||| Fresh start, no old ties. ||| And one day when all this is ancient history, I hope you can come back, maybe not as a building manager at first, but somewhere where you can start over, earn our trust."
スポット ライト を 浴びる,3,でも スポットライトを 浴びることになれば― ||| スポットライトを浴びたいが パートナーが必要さ ||| 特に公衆のスポットライトを浴びる のが好きな人物はね,But Kate... you're stepping into the spotlight now. ||| I guess I crave the spotlight. All I need is a proper partner. ||| Especially one who enjoys the public spotlight so much.
タオル を 投げる,3,タオルを投げる選択肢はない 私たちにあるのは ２つの道だ ||| 全てについてタオルを投げちゃうかな ||| タオルを投げる,But seeing as throwing in the towel is not an option that leaves us with a total of two choices. ||| Maybe I'll just listen to the universe and... and throw the towel in on the whole thing. ||| - So I'm gonna call the fight.
ミーハー,3,意外とミーハーなんだよなあ ||| 紗絵子さんは ミーハーな ノリで 新しいものに 飛び付くけど 商品に対しては シビアだよ｡ ||| 案外ミーハーなんだよね,"You are pretty oldfashioned, despite your looks. ||| Saeko-san jumps at new things like a trendhopper, but she's a harsh judge of products. ||| She's oldfashioned despite her looks, right?"
ユートピア,3,一種のユートピアの創造さ つまり... ||| 私達は夢中でユートピアを作ったよ ||| 私たちは毒を持った宿命の人たちの中にい- ます。 常にユートピアです...,"I sort of created a utopian society where we all sort of... ||| We were jamming, man, building utopia. ||| We are among those whose fate is a poison We are constantly utopia ..."
一 か八 か,3,情報部の幹部は いつも一か八かなんです ||| 一か八かだが シスコと私でやってみる ||| 一か八かしかない,"Intelligence officers usually hedge their bets. It's... ||| It's a bit of a hail mary, But Cisco and I are going to give it a try. ||| Risk is all I've got left."
一 寸先 は 闇,3,一寸先は闇だな ||| 一寸先は闇だ ||| 一寸先は闇だ つらい毎日だったよ,"So, I've been thinking about those thousand razors. ||| You're dying the death of a thousand razors up there and you don't even know it. ||| I don't know. I don't know what happened. Tough couple of days."
一 巻 の 終わり,3,気付かれたら 全員が一巻の終わりよ ||| 一巻の終わり ||| 一巻の終わりだな,"Because if they see you coming, we're all dead. ||| But if Torus gets the ARQ... they'll be unstoppable. ||| We are so dead."
一 本 取る れる,3,一本取られたな、中尉。 ||| 一本取られた ||| 一本取られたようですな,"Fair point, Lieutenant. ||| - She's got you there. ||| You win."
"一 杯 食う,一 杯 食う する れる",3,ああ　一杯食わされた だが　失敗した ||| 一杯食わされたな ||| お人よし過ぎた だから一杯食わされた,"Yeah, you took your shot, but you missed. ||| You should have seen your face. ||| I've been gullible, all right, letting him make a fool of me."
一刻 を 争う,3,私が持ってきた情報は 一刻を争うものです ||| 一刻を争う事態でしたので 報告が遅れたことはお詫びします (浅野)結局 国税に持っていかれたら 元も子もないですね ||| 一刻を争ってる,"The Intel that I brought back is time sensitive. ||| but it was a race against time. it was all for naught. ||| Father, they don't have a lot of time."
一役 買う,3,（逮捕に一役買ったので 俺達の違法行為は見逃されたのだ） ||| ジェーンはオレたちには トラブル メーカーだ 粛正に一役買っても良い ||| 私が君の記憶に一役買うとしたら？,"But since we led the cops to Harken they ultimately agreed to let our other offenses slide. ||| Now, what befell Jane is very troubling to all of us, and we would like to help you to set it right. ||| What if I help your memory?"
一息 入れる,3,大丈夫 一息入れて　落ち着いて ||| 俺達が　一息入れるころ 船はダイヤを乗せて　パリに向かう ||| - 一息入れろよ、マイク,"Okay. Just breathe and relax. ||| When we come up for air, that ship will be headed to Paris and the diamond will be gone forever. ||| - Get some ice cream, Mike."
一挙 手一 投足,3,僕は今日１日　この２３人の前容疑者の 一言一句漏らさず 一挙手一投足から　無意識な反応まで 観察し続けていた ||| 地域外では大規模な掘削活動が 行われていて - -我々は一挙手一投足を見張られている ||| 仕事に戻ったばかりの 君にしてみれば 情緒が不安定な状態にもなるし 君の一挙手一投足を観察してる 上の奴らに対して,"I spent today soaking in every word, every gesture, every involuntary reaction of these 23 former suspects. ||| There has been massive digging activity out there and they undoubtedly monitor our every move. ||| I understand your precarious emotional state, given you've just gotten your job back, and your sensitivity to the bureaucrats that are watching your every move."
一泡 吹かせる,3,つかまってろ 小惑星帯に入るぞ これで一泡吹かせてやる ||| 自殺行為だ アンナに一泡吹かせてやりたいが ||| 配置についた 一泡吹かせてやる,"We'll move into the asteroid field... and we'll have a couple of surprises for him. ||| It's a suicide mission. ||| We're on point, ready to give them some of their own medicine."
一目 置く,3,- アルフォンには一目置かれている - おう　そうか？ ||| 彼はお前を一目置いている ||| 皆が一目置いてる NYの私立学校関係者も,I saw Alphonse respected me back there. ||| He sees something in you. ||| That sort of thing means something to people in private schools in New York City.
一言 も ない,3,彼は一言もなく 何週間も行方をくらましたんです ||| 一言もなく死亡しました ||| 私に一言も無く？,He has been gone for weeks.. Not a single word. ||| And did not live to tell about it. ||| Without telling me?
不 幸中 の 幸い,3,"あの高さじゃ不幸中の幸いだった ||| ""それを知られてないのは 不幸中の幸いだ"" ||| それでも不幸中の幸いだ","Not bad, considering the height. ||| Yeah, well, I'm glad they don't know that. ||| We're lucky they got out when they did."
世 に 出る,3,掛けて 悲しむべき事に 世に出る前に死んだ ||| この写真が世に出たら ＤＥＡは終わりだ ||| それに こういうのは あとから世に出たほうが 圧倒的に不利だ,"Sadly, fredrick died without ever being published. ||| The DEA's worst nightmare is that face out in public. ||| And since they went public first, we'd be at a great disadvantage."
世 も 末,3,世も末だ ||| 俺がこんな事をするとは 世も末だ ||| そんなに誉れ高き王たちが運び屋に用があるとは世も末だ,"Even for the apocalypse. ||| Of all the horrible things I have had to do in the apocalypse, ||| What is the world coming to when smugglers must vouch for the honor of kings?"
世 を 去る,3,悲劇にも 若くしてこの世を去った... ||| 全員笑いで息を詰まらせるまで この世を去るつもりはない ||| 何年も前に世を去った,...who was snuffed out... tragically early. ||| And I'll not leave this world until they all choke on that laughter. ||| Lost for many years.
世話 が 焼ける,3,ほんとに世話が焼ける人 ||| 来年　僕はずっと家にいる 世話が焼けて ママも大変だ ||| ポッポちゃんは　世話が焼ける,"Your uselessness is epic. ||| I guess I'll just be home, which sucks for you because it's gonna be so hard for you to go through all my stuff. ||| You must admit she works hard with those chicken feathers!"
世話 に なる,3,俺は人の世話になったことない 自分のことは自分でする ||| 残りを昔世話になった遺伝学の教授に送ったの ||| 何てことないですよ いつも叔父がお世話になってますから,"I've always paid my way. You know I send what I can. ||| I sent on to my old genetics professor. ||| - It's nothing, compared to your help with Uncle."
世話 を 焼く,3,世話を焼いてくれんでも 自分で出来る ||| 世話を焼いても 返すのはグチばかり ||| いつからネスの世話を焼いてるの,Why must you always mother-hen me? I'm quite capable of looking after myself. ||| She needs my help and then resents me for it. ||| Since when do you care about Renesmee?
予断 を 許す ない,3,知ってるのは未来の運命 予断を許さない状態 あなたは役割を果たせばいい ||| 銃で撃たれ 予断を許さない状態です ||| ナショナル・シティ総合病院にて 昏睡状態で― 予断を許さない状態が続いていますが スーパーガールのタイムリーな 到着が無ければ...,"All I know is that the fate of the future hangs in the balance, and you have some role to play. ||| Hancock is in serious condition with multiple gunshot wounds. ||| Willis is currently in a coma at National City General, although her fate would have been much more grim had it not been for the timely arrival of Supergirl..."
事 が 運ぶ,3,簡単に事が運ぶとは言ってない ||| そう簡単に 事が運ぶわけないじゃない？ ||| シンプルに事が運べば 人間 苦労しないよ,"I never told you it was gonna be easy. ||| You didn't think that'd be that easy, did you? ||| If things were that simple, no one would ever suffer."
事 に よる と,3,ゾーイ・バーンズの 記事によると デュラント上院議員が― カーン退場後の 新たな国務長官候補に... ||| この記事によると あなたが ブラック・マウンテン警備 の事件に関わっていたらしい ||| 地方記事によると、スーザン ジョーンズさん、二人の子供の母．．．,"Zoe Barnes of the Washington Herald now reporting, quoting a source close to the President, as saying that Senator Catherine Durant will likely be the new nominee for Secretary of State after Michael Kern's withdrawal earlier this week. ||| Listen, this paper talks about you being in this Black Mountain Security thing. ||| Locals reported Susan Jones, an American mother of two..."
事 を 起こす,3,シフターが事を起こした後は 俺たちのシマを奪い 侮辱したら ||| バウアーは、不祥事を起こした薬である インターナショナルと 彼に対して行っ保証します。 ||| お前は町に人狼が 戻ってきてると思うのか 揉め事を起こしに?,"After what those shifters have done -- chipping away at our territory, insulting us... ||| Bauer is a disgraced agent with international warrants out against him. ||| You think the werewolves are back in town trying to start some trouble?"
事 を 運ぶ,3,ご存知通りです　陛下 老師の責務はご希望通りに事を運ぶだけに及びません 戦時には　助言を申し上げることも責務 ||| 食事を運ぶ者もなく ||| 警部 私は頭越しに事を運ぶのは 好みませんし,"As you know, Your Grace, it is not only the sworn duty of a Maester to carry out the wishes of the house he serves, but also to offer guidance and counsel in times of war. ||| Nobody to bring her food. ||| Look, captain, I don't like going over anybody's head,"
二 つ に 一 つ,3,さて、捕虜を取らないとすると、 残る選択肢は二つに一つだ ||| 死ぬか生きるか、二つに一つだ ||| タイヤン・シェンは両方に必要だ 二つに一つの選択だ,"Now, that leaves two ways we can play this out. ||| I am killing us, or saving us. ||| Both plans require the Taiyang Shen. So, we have to choose."
二 の 舞,3,君がお別れが言えなかった 二の舞いにしないでくれ ||| ２００８年の二の舞はごめんだ！ ||| スタークの二の舞を踏むつもりはない,It's wrong that you didn't get to say goodbye to your sister. Give them what you deserved. ||| Squirrel.. I am not going to have a repeat of 2008! ||| I don't mean to follow Ned Stark to the grave.
人 が 変わる,3,彼女は人が変わってしまった と彼女の医療費 - ||| 奴は人が変わる ||| あんた 人が変わったみたい,"She hasn't been the same, and her medical bills-- look, I'm... ||| The guy flies off the handle. ||| You seem like a changed person."
人 が 悪い,3,木の中では いい人が悪い人になる事あるの？ ||| 愛する人が悪いことをした、とかね ||| この２人が　悪い奴で,"Do good people ever turn bad in the upside-down tree? ||| If their sweetheart's done 'em wrong, they write. ||| Yes. Uh, those two are the bad guys."
"人目 を 引く,目 を 引く",3,火は人目を引くぞ ||| 人目を引くためだ ||| かなりの人目を引く,"Is what attracts them, see? ||| Something to lure you in. Like... ||| It's quite striking in person."
今 の 今 まで,3,今の今まで　どんな女なのかも知らなかった ||| そして今の今まで、何が起きたか 納得はしていない ||| 今の今まで 誰もそれを指摘しない ここは私有地です どうぞお引取り下さい そうか 私はどこにも行かないぞ,"Until just now, I didn't even know what she looked like. That's funny. ||| And I have never, ever been so convinced of what has to happen now. ||| Up till now. This is private property, sir. I'm going to have to ask you to leave."
今 は 昔,3,今は昔、例の悪いニュースを 聞いた後 ||| ま、今は昔よりだいぶマシになったんだけどね。 ||| でも今は昔のように,"Now once upon a time, after receiving some particularly bad news ||| But it's going better with her now. ||| It's like old times."
仲 を 裂く,3,姉さんとの仲を 裂こうとしているの ||| やめて私たちの仲を 裂きたいの？ ||| 抗争により恋人達が その仲を裂かれる,"She hopes to keep him in town, and persuade you that he does not care about you. ||| If you tell, then you're my enemy! You want to ruin my life. ||| It's about two star-crossed lovers kept apart by a big feud."
体 で 覚える,3,体で覚えているはずだ。 ||| 重要ポイントを 体で覚えているんだ ||| 体で覚えるんだ,"- Should be just muscle memory. ||| It is merely an aid to memory. Helps me marshal the facts already in my command. ||| I'm talking about muscle memory, girl..."
体 を 壊す,3,だから体を壊した夫が会社を 売却するのを内心　喜んでた ||| あなたの魂が 肉体を壊してる ||| もうクスリの乱用や　粗食 身体を壊すような　真似はしない,"So it came as a relief when his failing health and a costly lawsuit were forcing them to sell to the competition. ||| Your dead soul is killing his living skin. ||| There will be no more pills. There will be no more bad food, no more destroyers of my body."
何 か と 言う と,3,何かと言うと... ||| それは何かと言うと それは･･･ ||| 死因は感電死によるもの 凶器は... 何かと言うと...,"Plus... ||| I'll tell you what it is. It's... ||| Cause of death was electrocution, courtesy of... wait for it... a cattle prod."
何 から 何 まで,3,何から何まで ||| - 彼が何から何まで教えてくれた ||| 彼の意思の何から何まで,Alpha to omega. ||| - He showed me what was what. ||| Any part of his soul.
何 が 何 で も,3,兄上はいつもそう 何が何でも 皆に犠牲を払わせて ||| 何が何でもリンカーンに行く ||| 俺がこれまで千年もの間に 何が何でもアンタを 傷つけると思ってるなら 俺をクラウスと 履き違えてる,"You always do, no matter what it costs the rest of us. ||| I'm going to Lincoln if it's the last thing I do. ||| If you think that I'd ever in 1,000 years do anything to hurt you, you got me confused with Klaus."
何 と する て も,3,何としても守る ||| リバー８情報を 何としても入手する積りだ ||| 何としてもやるの,Plan to keep it. ||| We're gonna get all the information we need about Liber8. ||| We have to.
何 は とも ある,3,年を取るというのは皮肉なものだ 何はともあれ ||| 何はともあれだ 問題が残ってないかね ||| 何はともあれ 成功した,"Old age is a wonderful source of ironies if nothing else. ||| Be that as it may... don't think we got the right guy. ||| For what it's worth, Colonel, it worked."
何 を 隠す,3,何を隠したって？ ||| ハーヴィーも ご覧に 何を隠そう 彼は... ||| 「そこで 何を 隠しいる？,Where what is hidden? ||| And then I started to pay attention to Harvey and all that he's been doing as our new da. ||| What do you have in there? What do you have in there?
余儀 ない する れる,3,"家から出ることを余儀なくされ― 壁の向こうの原野へ追いやられた ||| アンディ... 覚えておいて , Jadallaが信じていることを確かめてください 私はあなたにこれをさせることを余儀なくされています。 ||| 私たちは、 馬に彼を結ぶと私の納屋の周りに彼をドラッグすることを余儀なくされた。","Forced from your home, driven out to the wilds beyond the Wall. ||| Andy... remember, be sure Jadalla believes I'm forcing you to do this. ||| We were forced to tie him to a horse and drag him around my barn."
借り を 返す,3,ティリオン・ラニスターであれば お前の一族が私の一族にした事の借りを返させるために 殺さない理由がないであろう？ ||| すべてを台無しにして彼の借りを返すの？ それがあなたの応える方法なの？ ||| 借りを返すために...,"If you are Tyrion Lannister, why shouldn't I kill you to pay your family back for what it did to mine? ||| This is how you respond, by squandering your life to get even with him? ||| For payback purposes..."
値 が 張る,3,慎重に扱え 値が張る 粉末状だ ||| 少し値が張りますが ||| - 値が張るもんな,"Careful. It's rare. Pricey. ||| though a little bit expensive. ||| For that price, it better be."
備えあれる ば 憂く なし,3,備えあれば憂いなし ||| 備えあれば 憂いなし ||| 備えあれば憂いなしです,"Pray for the best, prepare for the worst. ||| It's best to be prepared. ||| - Packed already? No harm in being prepared."
元 の 木 阿弥,3,元の木阿弥だ 好印象が必要だろ？ ||| 元の木阿弥 ||| でも天使を助けたら 元の木阿弥で またトラブルに陥るぞ,"And that's really gonna score a bunch of points with the group, okay? ||| We're back to square one. ||| I do, but helping angels is what got you in trouble in the first place."
先 が 見える,3,貴方にはまだ悪い２つの選択肢がある あなたは出血して先が見えてる ||| 先が見える ||| こういうのって 先が見えてるのよね,"Well, you still have two bad choices, but only one ends with you bleeding out. ||| I know what's gonna happen. ||| Don't you think I know how this goes?"
先 を 読む,3,先を読む能力よ ||| 見つけるのは無理さ 彼女は先を読んでる ||| だから先を読まれてた,It's the gift of anticipation. ||| You're not gonna find her. She's smarter than that. ||| That's how they were able to stay ahead of us.
先 を 越す,3,俺が眠ってる間に 先を越されたのだ ||| 先を越されブこな ||| - 先を越されたのかな？,She must have passed me while I slept. Well? ... ||| Someone got here first. ||| - Are we too late?
"先手 を 打つ,手 を 打つ",3,先手を打って行くわよ ||| 先手を打って 流れを変えないと ||| 我々は先手を打って カネを追跡可能にした,"They'll go past, we'll keep them ahead of us. ||| It's time to get out in front, change the game. ||| We've got to get a step ahead of these people. The money's rigged, thermal tracking."
八百 長,3,八百長だからよ クィニー ||| ジェーンに対する裁判は　八百長だったの ||| ケビン　選挙は八百長だった,"Because the game is rigged, Queenie. ||| The case against Jane was a setup. ||| Kevin, the election was fixed."
公然 の 秘密,3,そして帰って来た 献身的な妻とやらの元に もう公然の秘密 パパ以外はね ||| 彼の性嗜好は公然の秘密だった ||| これは公然の秘密だ,"And he comes home, to this devoted wife, and everyone is in on the secret except him. ||| His proclivities were the worst kept secret at court. ||| This is an open secret"
冷たい なる,3,冷たくなって死んでたんだろ ||| ショーン　君から聞いた話だと 子供が生まれてから　リサが性的な面で 冷たくなったってことらしいね ||| 冷たくなってる,"- ""Dead"" is the word you're looking for. Stone-cold dead. ||| Sean, what I'm hearing from you is that Lisa has become sexually cold ever since the baby was born. ||| The bitch is cold, bro."
割 に 合う,3,割に合うことなら 何でもやる ||| あの少女は 割に合わないかもな ||| - 割に合わない,"Look Vera, I'll do anything within reason. But not that. So forget it. ||| Maybe the girl is not worth it. ||| It's not worth it."
割る て 入る,3,俺がここに居るから いつでも割って入る ||| アンジェラはきみの親友なんだ オレが２人の間に割って入った ||| 僕が割って入るまで　まさにそんな感じだった,"I'll be right here. I'll step in. ||| Angela is your best friend, and obviously, I've come between you two. ||| Oh, well, it was about to, until I stepped in."
力 に する,3,つらさを原動力にして もっと強くなってやる ||| 子供たちを あなたの 原動力にしてください ||| 自分の力にするために,I take that shit and I use it as a motivation to push me to be better at what I do. ||| Keep going and make your kids the engine of your life. ||| It's what motivates me.
力 に なる,3,力になる為に勉強してました 理解できる年齢です ||| 力になってくれ ||| 広がりの大きさが - 魅力になる,I've been studying to be with the force since I was old enough to read. ||| Help us. ||| Pretty soon all the Baylor kids saw their friends on our site and we were in.
力 を 入れる,3,力を入れてもいいわよ ||| 男達の描写の方に力を入れてた それは何故 私はモンローに惹かれてるのに ||| はやく、もっと力を入れてくれ！,"You can do it harder. ||| I keep writing men better than the woman, which is so strange, because Marilyn is who I'm most captivated by, just like they were, I guess. ||| Now! Oome on!"
力 を 貸す,3,それを見直して　少し認めてくれるなら 喜んで　私の洞察力を貸してあげるわ ||| ちょっぴり私達に 力を貸すだけでいいの 追跡呪文でお兄様を 見つけ出すのに ||| 私に何してもいいが、 この悪に力を貸さないよ！,"If they'd review it, grant me a few, well, then I'd be happy to lend my insights. ||| We need you to perform a teeny, tiny locator spell to help us find our brother. ||| You can do what you want with me. I won't be a part of this... this this evil any longer."
動き が 取れる ない,3,身動きが取れなくなっちゃった ||| 図書館で身動きが取れなくなってる 分隊が有ります ||| 在庫を抱えたまま 現金が減ると 途端に身動きが 取れなくなります,"I'm screwed up. ||| We got a squad pinned down in a library. ||| If the cash balance goes down while carrying an inventory, our cash flow will start to suffer right away."
千里 の 道 も 一歩 から,3,"- 千里の道も一歩から ||| 千里の道も一歩からだ ||| ""千里の道も一歩から 最初の一歩から ""始まる","- You have to start somewhere. ||| Every journey begins with a first step. ||| ""A journey of a thousand miles begins with a single step."""
千里 眼,3,それは分ってるが お前なら 銀河間　超空間　千里眼で 誰か探せるんだろ ||| 千里眼があるのか 霊能者なのか ||| 千里眼だ,"I know that, but maybe you can use your intergalactic, hyperspace, X-ray eyeballs to find someone else. ||| You're either a clairvoyant... a psychic, a seer, a soothsayer, or something. ||| Clairvoyant."
危ない 橋 を 渡る,3,そう何度も危ない橋を 渡ることはできん ||| 見物はしたためしがない ロックフェラーのように 危ない橋を渡るタイプだ　カラ ||| お前のために危ない 橋を渡った,"It's one thing if my employer gets iced. It's another if it happens in his bedroom. ||| Never pictured you as a Rockefeller ice-skating type, Kara. ||| Listen, I've risked more than I should have for you, Jacq."
厄介 払い,3,- シアトルへと厄介払い ||| あのクソ女は俺を厄介払いしようってのか ||| 彼は厄介払いだと思うだろう,"- Shipped off to Seattle. ||| God,that bitch pisses me off. ||| I think he'd take it as an affront, like I'm trying to get rid of him."
